ticker,FOUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-05,45.8261
2020-06-08,4.8002
2020-06-09,1.0242
2020-06-10,-0.169
2020-06-11,-10.4372
2020-06-12,9.4488
2020-06-15,2.2157999999999998
2020-06-16,-1.464
2020-06-17,3.9143
2020-06-18,8.6885
2020-06-19,5.616
2020-06-22,-2.9701
2020-06-23,-0.0247
2020-06-24,-7.358
2020-06-25,-3.9712
2020-06-26,3.2473
2020-06-29,-3.414
2020-06-30,-1.1968
2020-07-01,-4.2254
2020-07-02,6.3824
2020-07-06,8.9024
2020-07-07,7.87
2020-07-08,5.3189
2020-07-09,0.1788
2020-07-10,0.1115
2020-07-13,-13.0125
2020-07-14,-3.2787
2020-07-15,5.8792
2020-07-16,-1.4007
2020-07-17,-1.3191
2020-07-20,-2.1851
2020-07-21,-2.4179
2020-07-22,-3.582
2020-07-23,0.5587
2020-07-24,-1.6667
2020-07-27,3.1921
2020-07-28,0.5749
2020-07-29,4.7904
2020-07-30,-2.3896
2020-07-31,1.9159000000000002
