ticker,HARL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.4673
2000-01-05,11.7371
2000-01-07,0.0
2000-01-10,-5.042
2000-01-12,-3.5398
2000-01-13,-0.9174
2000-01-14,0.0
2000-01-18,-2.7778
2000-01-20,4.7619
2000-01-21,0.0
2000-01-24,1.8182
2000-01-27,-0.8929
2000-01-28,0.9009
2000-02-04,0.0
2000-02-07,0.7857
2000-02-08,2.2321
2000-02-09,-2.1834
2000-02-15,0.0
2000-02-17,0.0
2000-02-18,3.5714
2000-02-22,1.7241
2000-02-23,-5.0847
2000-02-24,1.7856999999999998
2000-02-25,0.8772
2000-02-29,-2.6087
2000-03-01,4.0179
2000-03-03,0.0
2000-03-06,-3.8627000000000002
2000-03-07,5.3571
2000-03-09,-0.8475
2000-03-10,-4.2735
2000-03-14,0.0
2000-03-15,0.0
2000-03-20,0.0
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,0.0
2000-04-05,0.0
2000-04-06,-3.5714
2000-04-07,1.8519
2000-04-10,-1.8182
2000-04-11,3.7037
2000-04-12,0.0
2000-04-13,-2.6786
2000-04-14,-0.9174
2000-04-17,3.7037
2000-04-19,3.5714
2000-04-24,-3.0172
2000-04-28,0.4444
2000-05-02,0.0
2000-05-03,2.6549
2000-05-10,-1.8416000000000001
2000-05-11,0.0
2000-05-12,0.885
2000-05-15,-0.8772
2000-05-19,1.7699
2000-05-25,0.0
2000-05-30,-0.8696
2000-06-05,1.7544
2000-06-09,0.0
2000-06-12,0.0
2000-06-14,2.5862
2000-06-22,1.6806999999999999
2000-06-23,-4.1322
2000-07-06,0.0
2000-07-10,2.5862
2000-07-11,0.0
2000-07-19,-0.8403
2000-07-20,3.3898
2000-07-25,-4.0984
2000-07-26,0.0
2000-08-03,0.0
2000-08-09,0.3272
2000-08-10,0.8584
2000-08-11,0.0
2000-08-14,0.0
2000-08-21,0.4255
2000-08-23,1.6949
2000-08-24,-0.8333
2000-08-28,0.0
2000-08-29,0.0
2000-08-31,0.8403
2000-09-01,0.0
2000-09-05,0.0
2000-09-07,3.3333
2000-09-12,-1.6129
2000-09-14,-1.2295
2000-09-15,2.9046
2000-09-19,-2.8226
2000-09-20,0.0
2000-09-25,0.0
2000-09-26,0.0
2000-09-28,0.0
2000-09-29,0.0
2000-10-10,0.0
2000-10-13,0.0
2000-10-20,-0.4149
2000-10-23,0.8333
2000-10-27,-0.8264
2000-11-01,1.6667
