ticker,UBER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-10,-7.6222
2019-05-13,-10.7529
2019-05-14,7.7089
2019-05-15,3.3283
2019-05-16,4.1414
2019-05-17,-2.5349
2019-05-20,-0.7635
2019-05-21,-0.2164
2019-05-22,-0.6024
2019-05-23,-1.8909
2019-05-24,2.5698
2019-05-28,-1.3491
2019-05-29,-2.4664
2019-05-30,-0.3505
2019-05-31,1.5327
2019-06-03,2.0787
2019-06-04,3.6364
2019-06-05,5.2632
2019-06-06,-0.1778
2019-06-07,-1.6919
2019-06-10,-3.51
2019-06-11,-0.3755
2019-06-12,-0.6596
2019-06-13,5.0747
2019-06-14,-2.4374000000000002
2019-06-17,1.2723
2019-06-18,0.1827
2019-06-19,2.2800000000000002
2019-06-20,-2.2292
2019-06-21,0.3192
2019-06-24,-2.0682
2019-06-25,0.0
2019-06-26,-1.3692
2019-06-27,6.1882
2019-06-28,2.7698
2019-07-01,-4.5494
2019-07-02,-0.6099
2019-07-03,0.5227
2019-07-05,-1.5826
2019-07-08,-1.3324
2019-07-09,2.9104
2019-07-10,-1.1312
2019-07-11,0.6636
2019-07-12,0.0
2019-07-15,1.2276
2019-07-16,-0.8983
2019-07-17,-1.1557
2019-07-18,0.2063
2019-07-19,-1.2125
2019-07-22,1.1811
2019-07-23,-0.7553
2019-07-24,0.9225
2019-07-25,-0.8227
2019-07-26,2.5806
2019-07-29,-1.4376
2019-07-30,-2.9398
2019-07-31,-1.0566
2019-08-01,-1.9696
2019-08-02,-2.2029
2019-08-05,-3.3416
2019-08-06,0.2561
2019-08-07,1.4049
2019-08-08,8.2368
2019-08-09,-6.7954
2019-08-12,-7.6155
2019-08-13,-1.4865
2019-08-14,-6.8313
2019-08-15,-2.179
2019-08-16,6.0506
2019-08-19,-1.7599
2019-08-20,1.9647999999999999
2019-08-21,-1.0768
2019-08-22,-2.6067
2019-08-23,-1.6764999999999999
2019-08-26,-0.359
2019-08-27,-0.6004
2019-08-28,-1.5705
2019-08-29,0.5216
2019-08-30,-0.58
2019-09-03,-5.7415
2019-09-04,4.202
2019-09-05,1.6255
2019-09-06,-1.9994
2019-09-09,1.1927
2019-09-10,3.9392
2019-09-11,1.4623
2019-09-12,0.2059
2019-09-13,-2.4068
2019-09-16,3.5489
2019-09-17,-0.4066
2019-09-18,-0.0875
2019-09-19,-1.2843
2019-09-20,-3.6073
2019-09-23,1.227
2019-09-24,-5.1515
2019-09-25,1.2141
2019-09-26,-0.3472
