ticker,CAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.3274
2000-01-04,-4.9327
2000-01-05,-2.8302
2000-01-06,-0.9709
2000-01-07,5.8824
2000-01-10,4.6296
2000-01-11,5.3097
2000-01-12,-4.6218
2000-01-13,-8.37
2000-01-14,1.9231
2000-01-18,-2.3585
2000-01-19,1.4493
2000-01-20,-2.3810000000000002
2000-01-21,0.0
2000-01-24,-3.9024
2000-01-25,-3.5533
2000-01-26,-7.3684
2000-01-27,0.5682
2000-01-28,-3.3898
2000-01-31,-2.924
2000-02-01,-3.012
2000-02-02,0.6211
2000-02-03,10.4938
2000-02-04,0.5587
2000-02-07,2.2222
2000-02-08,0.0
2000-02-09,-4.3478
2000-02-10,1.7045
2000-02-11,0.5587
2000-02-14,0.5556
2000-02-15,5.5249
2000-02-16,-0.5236
2000-02-17,-1.0526
2000-02-18,-4.2553
2000-02-22,-1.1111
2000-02-23,-0.5618
2000-02-24,0.565
2000-02-25,-7.8652
2000-02-28,0.0
2000-02-29,2.439
2000-03-01,0.5952
2000-03-02,0.5917
2000-03-03,-3.5294
2000-03-06,4.2683
2000-03-07,8.1871
2000-03-08,1.0811
2000-03-09,2.9947
2000-03-10,-3.6649000000000003
2000-03-13,2.7174
2000-03-14,-1.5873
2000-03-15,2.1505
2000-03-16,4.2105
2000-03-17,5.0505
2000-03-20,-3.8462
2000-03-21,-1.0
2000-03-22,-4.0404
2000-03-23,1.5789
2000-03-24,-1.0363
2000-03-27,0.0
2000-03-28,-3.6649000000000003
2000-03-29,3.2609
2000-03-30,2.6316
2000-03-31,-1.5385
2000-04-03,3.125
2000-04-04,-2.0202
2000-04-05,2.0619
2000-04-06,-1.0101
2000-04-07,-2.0408
2000-04-10,0.5208
2000-04-11,-1.5544
2000-04-12,0.0
2000-04-13,2.1053
2000-04-14,-3.0928
2000-04-17,-4.7872
2000-04-18,-2.2346
2000-04-19,-2.8571
2000-04-20,-1.7647
2000-04-24,-9.5808
2000-04-25,-0.6623
2000-04-26,4.0
2000-04-27,1.9231
2000-04-28,3.1447
2000-05-01,-0.6098
2000-05-02,-5.5215
2000-05-03,-1.9481000000000002
2000-05-04,0.0
2000-05-05,1.9868000000000001
2000-05-08,-3.2468
2000-05-09,9.396
2000-05-10,1.8405
2000-05-11,-1.8072
2000-05-12,7.9755
2000-05-15,1.1364
2000-05-16,5.618
2000-05-17,0.5319
2000-05-18,1.5873
2000-05-19,1.0417
2000-05-22,-1.0309
2000-05-23,-0.5208
