ticker,FLDM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-10,3.8519
2011-02-11,0.214
2011-02-14,2.4911
2011-02-15,-1.25
2011-02-16,0.3516
2011-02-17,5.1156
2011-02-18,-4.0667
2011-02-22,-3.7526
2011-02-23,1.5884
2011-02-24,-0.4975
2011-02-25,2.8571
2011-02-28,-1.7361
2011-03-01,0.8481
2011-03-02,-1.822
2011-03-03,0.4283
2011-03-04,-0.5686
2011-03-07,-2.0729
2011-03-08,5.4015
2011-03-09,-0.4848
2011-03-10,-0.1392
2011-03-11,3.8327999999999998
2011-03-14,1.0067
2011-03-15,4.3189
2011-03-16,1.3376000000000001
2011-03-17,3.2684
2011-03-18,-5.1126
2011-03-21,-1.0263
2011-03-22,-1.9443000000000001
2011-03-23,-3.6352
2011-03-24,-0.4801
2011-03-25,3.1702
2011-03-28,4.843
2011-03-29,-0.6053
2011-03-30,-4.9359
2011-03-31,-3.5064
2011-04-01,3.4941
2011-04-04,1.688
2011-04-05,1.8592
2011-04-06,-0.1956
2011-04-07,-3.0046
2011-04-08,1.8182
2011-04-11,1.2566
2011-04-12,-0.8491
2011-04-13,0.3953
2011-04-14,-1.1155
2011-04-15,0.9954
2011-04-18,0.9198
2011-04-19,-0.1953
2011-04-20,2.9354
2011-04-21,-0.0634
2011-04-25,-0.8878
2011-04-26,1.5354999999999999
2011-04-27,0.7561
2011-04-28,0.5629
2011-04-29,2.9229000000000003
2011-05-02,-1.571
2011-05-03,-3.7446
2011-05-04,-1.148
2011-05-05,2.129
2011-05-06,0.5054
2011-05-09,0.5657
2011-05-10,-0.3125
2011-05-11,-0.6897
2011-05-12,-0.5682
2011-05-13,0.3175
2011-05-16,-1.8987
2011-05-17,-3.1612999999999998
2011-05-18,-2.7315
2011-05-19,-1.7123
2011-05-20,-0.3136
2011-05-23,-3.1108
2011-05-24,1.443
2011-05-25,1.2802
2011-05-26,2.7388
2011-05-27,-0.0684
2011-05-31,2.394
2011-06-01,-2.004
2011-06-02,-4.2263
2011-06-03,-1.7793999999999999
2011-06-06,0.7971
2011-06-07,-1.3659
2011-06-08,-0.3644
2011-06-09,2.414
2011-06-10,-0.0714
2011-06-13,-0.143
2011-06-14,0.0716
2011-06-15,-1.073
2011-06-16,1.5184
2011-06-17,-0.2849
2011-06-20,1.7856999999999998
2011-06-21,-1.4035
2011-06-22,-1.9217
2011-06-23,2.9753
2011-06-24,10.9232
2011-06-27,1.1436
2011-06-28,4.1457
2011-06-29,-0.2413
