ticker,LYNS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-23,0.0
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,0.0
2010-03-01,0.0
2010-03-03,0.0
2010-03-10,0.0
2010-03-24,0.0
2010-03-31,-6.25
2010-04-05,0.0
2010-04-06,0.0
2010-04-08,0.0
2010-04-09,0.0
2010-04-12,0.0
2010-04-15,0.0
2010-04-16,6.6667
2010-04-23,-8.75
2010-04-27,0.0
2010-04-28,-1.3699
2010-04-30,0.0
2010-05-05,8.3333
2010-05-11,0.0
2010-05-13,0.0
2010-05-25,0.0
2010-05-26,-2.5641
2010-05-27,0.0
2010-06-01,0.0
2010-06-02,1.3158
2010-06-03,1.2987
2010-06-07,3.8462
2010-06-08,1.2346
2010-06-10,3.6585
2010-06-11,5.8824
2010-06-14,1.1111
2010-06-15,9.8901
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,4.0
2010-06-23,0.0
2010-06-25,1.9231
2010-06-28,0.0
2010-06-29,8.4906
2010-06-30,0.0
2010-07-01,-4.3478
2010-07-02,7.2727
2010-07-06,1.6949
2010-07-07,-1.6667
2010-07-09,0.0
2010-07-12,1.6949
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-19,-0.8333
2010-07-20,0.8403
2010-07-22,0.0
2010-07-26,0.0
2010-07-29,-0.8333
2010-08-09,-7.563
2010-08-16,-4.5455
2010-08-20,-71.3655
2010-08-23,99.5593
2010-08-24,16.6667
2010-08-25,0.0
2010-08-26,14.2857
2010-08-27,-7.5
2010-08-30,8.1081
2010-08-31,0.0
2010-09-01,-1.25
2010-09-03,13.9241
2010-09-09,0.0
2010-09-10,0.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,-11.1111
2010-09-17,18.75
2010-09-20,-5.2632
2010-09-21,5.5556
2010-09-22,-5.2632
2010-09-23,-2.2222
2010-09-24,7.7273
2010-09-27,-1.8987
2010-09-29,1.0753
2010-09-30,1.0638
2010-10-04,-1.2631999999999999
2010-10-05,-0.8529
2010-10-07,2.1505
2010-10-13,0.0
2010-10-14,0.0
2010-10-15,0.0
2010-10-18,-5.2632
2010-10-21,5.5556
2010-10-22,-5.2632
2010-10-25,0.0
2010-10-27,5.5556
2010-10-29,-1.0526
2010-11-02,-9.5745
2010-11-03,-5.8824
2010-11-04,2.5
2010-11-08,2.439
2010-11-09,0.0
2010-11-10,0.0
2010-11-11,1.1905000000000001
2010-11-12,-1.1764999999999999
2010-11-22,-2.3810000000000002
