ticker,VCBD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-27,0.6667
2018-02-28,-1.7219
2018-03-02,1.0782
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.6667
2018-03-08,-0.6623
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,-1.3333
2018-03-15,0.0
2018-03-16,-2.7027
2018-03-19,4.1667
2018-03-20,-1.3333
2018-03-21,4.7297
2018-03-22,-3.2258
2018-03-23,-3.3333
2018-03-26,3.4483
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,-1.3333
2018-04-02,0.0
2018-04-03,1.3514
2018-04-04,-2.6667
2018-04-05,0.0
2018-04-06,2.7397
2018-04-09,-1.3333
2018-04-10,1.3514
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,2.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,-1.3072
2018-04-20,1.3245
2018-04-23,-3.268
2018-04-24,2.7027
2018-04-25,-5.2632
2018-04-26,0.0
2018-04-27,5.5556
2018-04-30,-1.3158
2018-05-01,0.0
2018-05-02,1.3333
2018-05-03,0.0
2018-05-04,-4.1447
2018-05-07,4.324
2018-05-08,0.6579
2018-05-09,-0.6536
2018-05-11,0.6579
2018-05-14,-1.9607999999999999
2018-05-15,2.6667
2018-05-16,1.9481000000000002
2018-05-17,1.9108
2018-05-18,-3.75
2018-05-21,-0.6494
2018-05-22,0.0
2018-05-23,-15.0327
2018-05-24,3.0769
2018-05-25,17.9104
2018-05-29,10.1266
2018-05-30,-1.7241
2018-05-31,4.0936
2018-06-01,0.5618
2018-06-04,3.352
2018-06-05,1.0811
2018-06-06,2.1390000000000002
2018-06-07,3.6649000000000003
2018-06-08,3.0303
2018-06-11,5.3922
2018-06-12,5.1163
2018-06-13,-2.2124
2018-06-14,-27.6018
2018-06-15,5.0
2018-06-18,0.0
2018-06-19,13.0952
2018-06-20,7.8947
2018-06-21,-0.4878
2018-06-22,5.3922
2018-06-25,11.6279
2018-06-26,5.4167
2018-06-27,-5.1383
2018-06-28,-4.5833
2018-06-29,-8.2969
2018-07-02,-0.4762
2018-07-03,-8.612400000000001
2018-07-05,6.2827
2018-07-06,5.9113
2018-07-09,4.6512
2018-07-10,14.6667
2018-07-11,-1.5504
2018-07-12,2.0866
2018-07-13,1.4269
2018-07-16,-1.1407
2018-07-17,4.2308
2018-07-18,1.476
2018-07-19,0.7273
2018-07-20,1.444
2018-07-23,0.3559
2018-07-24,-4.2553
