ticker,SIML US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-01,18.1818
2009-12-17,0.0
2010-01-12,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-25,7.6923
2010-01-29,0.0
2010-02-11,0.0
2010-02-18,0.0
2010-02-25,0.0
2010-02-26,7.1429
2010-03-02,0.0
2010-03-03,0.0
2010-03-04,6.6667
2010-03-09,0.0
2010-03-12,0.0
2010-03-19,12.5
2010-03-23,0.0
2010-03-24,2.2222
2010-03-25,5.4348
2010-03-26,-2.0619
2010-03-29,4.2105
2010-03-30,-3.2828
2010-03-31,4.4386
2010-04-01,-1.0
2010-04-05,3.0303
2010-04-06,0.0
2010-04-07,0.0
2010-04-08,0.0
2010-04-09,-1.9607999999999999
2010-04-12,4.0
2010-04-13,-3.8462
2010-04-14,4.0
2010-04-15,3.8462
2010-04-16,0.0
2010-04-19,3.7037
2010-04-20,7.1429
2010-04-21,9.1667
2010-04-22,-0.7634
2010-04-23,3.0769
2010-04-26,5.9701
2010-04-27,-2.8169
2010-04-28,19.5652
2010-04-29,-3.0303
2010-04-30,-1.875
2010-05-03,7.0064
2010-05-04,-1.7856999999999998
2010-05-05,-0.6061
2010-05-06,-2.439
2010-05-07,2.5
2010-05-10,-0.6098
2010-05-11,-4.908
2010-05-12,-9.6774
2010-05-13,-7.1429
2010-05-14,-9.2308
2010-05-17,5.9322
2010-05-18,-0.8
2010-05-19,0.8065
2010-05-20,-20.08
2010-05-21,-6.9069
2010-05-24,12.9032
2010-05-25,-9.5238
2010-05-26,4.2105
2010-05-27,-9.0909
2010-05-28,3.3333
2010-06-01,-2.1505
2010-06-02,-1.0989
2010-06-03,0.0
2010-06-04,0.0
2010-06-07,3.3333
2010-06-08,0.0
2010-06-09,-1.1828
2010-06-10,0.1088
2010-06-11,3.2609
2010-06-14,1.0526
2010-06-15,2.0833
2010-06-16,6.1224
2010-06-17,-3.8462
2010-06-18,-2.0
2010-06-21,-1.0204
2010-06-22,-2.0619
2010-06-23,-3.1579
2010-06-24,-2.1739
2010-06-25,0.0
2010-06-28,-1.1111
2010-06-29,-12.3596
2010-06-30,5.1282
2010-07-01,-2.439
2010-07-02,-2.5
2010-07-06,-6.4103
2010-07-07,9.589
2010-07-08,-3.75
2010-07-09,-3.8961
2010-07-12,-1.3514
2010-07-13,1.3699
2010-07-14,4.4595
2010-07-15,1.5524
2010-07-16,-0.6369
2010-07-19,-1.2821
2010-07-20,2.4675000000000002
2010-07-21,-3.6755
