ticker,HTHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-12,0.0
2015-01-14,-98.75
2015-02-09,0.0
2015-04-13,0.0
2015-05-27,700.0
2015-10-14,-91.8
2016-02-17,1119.5122
2016-03-16,-87.5
2016-05-18,0.0
2017-02-27,-68.0
2017-08-28,-92.5
2017-08-30,-66.6667
2017-09-18,99900.0
2017-09-22,400.0
2017-10-03,-99.8
2017-10-10,230.0
2017-11-02,-93.9394
2018-01-29,4900.0
2018-02-28,-84.0
2018-07-12,525.0
2019-08-20,-92.0
2019-11-06,-75.0
2020-01-07,400.0
2020-01-17,-90.0
2020-03-25,0.0
