ticker,AZGSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-11,184.6154
2001-07-12,32.4324
2001-08-20,-94.898
2001-09-19,-50.0
2002-01-18,-20.0
2002-10-09,25.0
2002-12-13,60.0
2003-05-13,-37.5
2004-06-18,920.0
2004-06-28,-80.3922
2004-06-29,0.0
2004-07-15,0.0
2004-08-27,400.0
2004-09-02,200.0
2004-09-03,-4.0
2004-09-14,6.25
2004-09-16,-3.9215999999999998
2004-09-17,-18.3673
2004-09-21,-37.5
2004-09-22,60.0
2004-09-24,12.5
2004-09-27,-55.5556
2004-09-30,400.0
2004-10-01,-35.0
2004-10-04,-21.5385
2004-10-05,96.0784
2004-10-06,40.0
2004-10-07,42.8571
2004-10-08,-5.0
2004-10-11,-3.6842
2004-10-12,-12.5683
2004-10-13,-9.375
2004-10-14,27.5862
2004-10-15,25.9459
2004-10-18,16.7382
2004-10-19,-6.25
2004-10-20,9.8039
2004-10-21,2.5
2004-10-22,-0.6969
2004-10-25,-0.3509
2004-10-26,-27.8169
2004-10-27,-14.6341
2004-10-28,23.4286
2004-10-29,2.3148
2004-11-01,4.0724
2004-11-02,-2.1739
2004-11-03,-6.6667
2004-11-04,-7.1429
2004-11-05,-12.8205
2004-11-08,-5.8824
2004-11-09,21.25
2004-11-10,-7.2165
2004-11-11,2.7778
2004-11-12,-8.1081
2004-11-15,-4.7059
2004-11-16,-6.1728
2004-11-17,1.9737
2004-11-18,-3.2258
2004-11-19,10.3333
2004-11-22,2.719
2004-11-23,-5.2941
2004-11-24,2.4845
2004-11-26,0.0
2004-11-29,-12.1212
2004-11-30,-10.3448
2004-12-01,-6.9231
2004-12-02,7.438
2004-12-03,15.3846
2004-12-06,15.3333
2004-12-07,-4.6243
2004-12-08,3.0303
2004-12-09,2.3529
2004-12-10,-2.8736
2004-12-13,-2.9586
2004-12-14,-4.878
2004-12-15,-7.0513
2004-12-16,2.0
2004-12-17,-1.9607999999999999
2004-12-20,-7.5862
2004-12-21,0.0
2004-12-22,1.4925
2004-12-23,-1.4706000000000001
2004-12-27,-6.7164
2004-12-28,5.6
2004-12-29,0.0
2004-12-30,-9.0909
2004-12-31,4.1667
2005-01-03,-1.6
2005-01-04,-1.626
2005-01-05,-0.8264
2005-01-06,-3.3333
2005-01-07,-5.1724
2005-01-10,-21.8182
2005-01-11,15.1163
2005-01-12,-7.0707
2005-01-13,-2.1739
2005-01-14,0.0
2005-01-18,5.5556
2005-01-19,44.2105
2005-01-20,-16.0584
