ticker,SNCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-21,25.0
2006-12-22,-16.0
2006-12-26,19.0476
2006-12-27,0.0
2006-12-28,-10.0
2006-12-29,33.3333
2007-01-03,-16.0
2007-01-04,9.127
2007-01-05,9.0909
2007-01-08,-5.0
2007-01-09,3.5088
2007-01-10,10.1695
2007-01-11,-3.0769
2007-01-12,1.5873
2007-01-16,-3.125
2007-01-17,-4.8387
2007-01-18,-1.6949
2007-01-19,0.0
2007-01-22,-6.8966
2007-01-23,5.5556
2007-01-24,-3.1579
2007-01-25,-0.7246
2007-01-26,0.365
2007-01-29,-3.6364
2007-01-30,1.8868
2007-01-31,-1.8519
2007-02-01,1.8868
2007-02-02,5.5556
2007-02-05,-0.3509
2007-02-06,-3.169
2007-02-07,-1.0909
2007-02-08,2.5735
2007-02-09,8.6022
2007-02-12,-5.9406
2007-02-13,-1.7544
2007-02-14,0.0
2007-02-15,0.0
2007-02-16,0.0
2007-02-20,0.0
2007-02-21,-0.3571
2007-02-22,0.3584
2007-02-23,-1.0714
2007-02-26,-2.5271
2007-02-27,-5.5556
2007-02-28,0.0
2007-03-01,8.2353
2007-03-02,-2.5362
2007-03-05,-8.9219
2007-03-06,6.1224
2007-03-07,0.0
2007-03-08,3.8462
2007-03-09,-3.3333
2007-03-12,1.1494
2007-03-13,0.7576
2007-03-14,1.8797000000000001
2007-03-15,2.214
2007-03-16,-0.361
2007-03-19,10.5072
2007-03-20,1.6393
2007-03-21,4.8387
2007-03-22,-2.7692
2007-03-23,1.2658
2007-03-26,3.125
2007-03-27,-0.6061
2007-03-28,-2.439
2007-03-29,-1.5625
2007-03-30,1.5873
2007-04-02,0.0
2007-04-03,-4.6875
2007-04-04,3.2787
2007-04-05,-1.5873
2007-04-09,-0.9677
2007-04-10,2.6059
2007-04-11,0.9524
2007-04-12,3.7736
2007-04-13,5.7576
2007-04-16,0.2865
2007-04-17,1.4285999999999999
2007-04-18,5.0704
2007-04-19,-1.6086
2007-04-20,-0.545
2007-04-23,-3.5616
2007-04-24,3.6932
2007-04-25,-1.6438000000000001
2007-04-26,12.5348
2007-04-27,-2.2277
2007-04-30,-2.5316
2007-05-01,-5.7143
2007-05-02,-0.8264
2007-05-03,-0.2778
2007-05-04,-2.507
2007-05-07,3.1429
2007-05-08,0.831
2007-05-09,-1.0989
2007-05-10,5.5556
2007-05-11,1.3158
2007-05-14,-2.5974
2007-05-15,-0.2667
2007-05-16,2.4064
2007-05-17,-2.0888
