ticker,SDVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-29,66.6667
2005-05-05,-10.0
2005-05-06,11.1111
2005-05-16,-20.0
2005-07-22,-45.0
2005-07-25,-9.0909
2005-08-10,-50.0
2005-09-26,0.0
2005-10-18,-40.0
2005-11-03,33.3333
2005-11-07,25.0
2005-11-08,0.0
2005-11-29,0.0
2005-12-28,0.0
2006-01-04,30.0
2006-01-19,-7.6923
2006-03-03,-33.3333
2006-03-24,68.75
2006-03-30,-3.7037
2006-04-03,0.0
2006-04-26,0.0
2006-04-27,-7.6923
2006-05-01,25.0
2006-05-04,100.0
2006-05-08,-16.6667
2006-05-10,20.0
2006-05-11,0.0
2006-05-12,16.6667
2006-05-22,42.8571
2006-05-31,-40.0
2006-06-01,-33.3333
2006-06-02,25.0
2006-06-05,0.0
2006-06-07,-24.0
2006-06-08,47.3684
2006-06-09,25.0
2006-06-13,2.8571
2006-06-16,-33.3333
2006-06-19,79.1667
2006-06-21,16.5116
2006-06-22,29.7405
2006-06-23,-15.3846
2006-06-26,-23.6364
2006-07-11,-16.6667
2006-07-20,14.2857
2006-07-21,-20.0
2006-07-24,68.75
2006-07-25,-7.4074
2006-07-26,2.0
2006-07-27,0.0
2006-07-28,9.8039
2006-07-31,25.0
2006-08-01,-1.4285999999999999
2006-08-02,15.942
2006-08-03,5.0
2006-08-04,3.5714
2006-08-07,9.1954
2006-08-08,5.2632
2006-08-09,4.0
2006-08-10,-3.8462
2006-08-11,5.0
2006-08-14,5.7143
2006-08-15,35.1351
2006-08-16,-26.6667
2006-08-17,-15.4545
2006-08-21,-4.3011
2006-08-22,2.2472
2006-08-23,-2.1978
2006-08-24,-38.2022
2006-08-28,7.2727
2006-08-29,5.0847
2006-08-30,4.8387
2006-08-31,23.0769
2006-09-01,6.25
2006-09-05,-5.8824
2006-09-06,-12.5
2006-09-07,7.1429
2006-09-08,34.6667
2006-09-11,-24.7525
2006-09-12,-17.1053
2006-09-13,-9.5238
2006-09-14,-21.0526
2006-09-15,0.0
2006-09-18,2.2222
2006-09-27,8.6957
2006-10-02,-10.0
2006-10-03,-15.5556
2006-10-05,0.0
2006-10-10,18.4211
2006-10-12,-15.5556
2006-10-13,0.0
2006-10-17,-31.5789
2006-10-18,15.3846
2006-10-20,46.6667
2006-10-27,-31.8182
2006-11-02,0.0
2006-11-03,-13.3333
2006-11-06,15.3846
2006-11-08,33.3333
2006-11-09,50.0
2006-11-28,-58.3333
2006-11-30,76.0
