ticker,SXHHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-08-17,2.8571
2002-01-07,-8.3333
2002-04-23,3.0303
2002-04-24,0.0
2002-06-07,22.0588
2002-06-26,-6.0241
2002-07-11,16.6667
2002-07-12,-1.0989
2002-08-21,-4.4444
2002-08-27,-11.6279
2002-08-28,-5.2632
2002-08-29,5.5556
2002-10-22,-36.8421
2003-02-25,-4.1667
2003-02-26,0.0
2003-04-07,-8.6957
2003-04-11,0.0
2003-07-07,7.1429
2003-09-15,-11.1111
2003-12-30,115.0
2003-12-31,2.3256
2004-01-02,15.9091
2004-01-13,3.9215999999999998
2004-01-22,3.7736
2004-01-28,9.0909
2004-03-02,-16.6667
2004-03-08,8.0
2004-03-11,-5.5556
2004-04-02,3.9215999999999998
2004-06-18,-35.8491
2004-08-17,4.4118
2004-08-31,-11.2676
2004-09-14,1.5873
2004-09-15,4.6875
2004-09-30,10.4478
2004-10-07,1.3514
2004-10-08,6.6667
2004-10-13,-6.25
2004-10-19,6.6667
2004-10-21,-12.5
2004-11-02,-19.1429
2004-11-03,0.7067
2004-11-08,22.807
2005-02-11,-14.2857
2005-03-04,0.0
2005-03-10,-20.0
2005-06-16,-16.6667
2005-07-22,35.0
2005-08-18,-16.2963
2005-09-19,-3.5398
2005-09-29,35.3211
2005-10-14,-23.7288
2005-10-18,11.1111
2005-10-24,-22.4
2005-11-11,-8.7629
2005-12-28,-6.2147
2006-01-13,21.0843
2006-01-24,-15.4229
2006-01-26,-5.8824
2006-03-07,18.75
2006-03-08,0.0
2006-03-10,10.526299999999999
2006-03-21,14.2857
2006-05-05,-4.1667
2006-07-25,-23.913
2006-07-26,0.0
2006-07-27,5.7143
2006-07-28,-2.7027
2006-07-31,2.7778
2006-08-01,0.0
2006-08-08,-4.3243
2006-08-09,9.6045
2006-09-07,-1.5464
2006-09-19,1.2107
2006-09-20,1.9075
2006-09-21,-3.1091
2006-10-27,36.2148
2006-11-01,-7.6923
2006-11-02,8.3333
2006-11-08,-21.1538
2006-11-20,-15.2744
2006-12-05,15.1493
2006-12-22,-5.0
2007-01-25,18.75
2007-01-31,22.4931
2007-02-05,-1.0403
2007-02-08,16.2706
2007-02-09,4.6777
2007-02-13,-5.3699
2007-02-14,9.246
2007-02-15,15.6556
2007-02-16,9.3279
2007-02-20,-3.476
2007-02-21,-0.2381
2007-02-23,6.2798
2007-02-26,-2.0912
2007-02-27,-3.6696999999999997
2007-03-01,-0.119
2007-03-16,-23.7187
