ticker,VRTU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-03,-15.2857
2007-08-06,4.5531
2007-08-07,2.7419000000000002
2007-08-08,4.7096
2007-08-09,3.4483
2007-08-10,-4.2029
2007-08-13,1.2103
2007-08-14,2.9895
2007-08-15,-12.2642
2007-08-16,-3.6394
2007-08-17,2.9185
2007-08-20,-1.1676
2007-08-21,16.0338
2007-08-22,-0.2182
2007-08-23,2.7697000000000003
2007-08-24,0.4255
2007-08-27,-2.3305
2007-08-28,-3.3984
2007-08-29,-0.4491
2007-08-30,6.6917
2007-08-31,-0.0705
2007-09-04,9.2384
2007-09-05,-7.6824
2007-09-06,-2.0979
2007-09-07,-4.2857
2007-09-10,-1.0448
2007-09-11,-0.3771
2007-09-12,8.327
2007-09-13,1.3277
2007-09-14,-1.0345
2007-09-17,5.1568
2007-09-18,-1.7229999999999999
2007-09-19,0.1349
2007-09-20,1.8855
2007-09-21,2.4455
2007-09-24,-3.1612999999999998
2007-09-25,-2.3984
2007-09-26,3.3447
2007-09-27,-2.576
2007-09-28,1.6949
2007-10-01,0.2667
2007-10-02,8.0452
2007-10-03,4.0615
2007-10-04,0.6505
2007-10-05,-2.7615
2007-10-08,-0.3021
2007-10-09,-1.3939
2007-10-10,2.3356
2007-10-11,-1.3814
2007-10-12,-4.324
2007-10-15,-1.0821
2007-10-16,4.8906
2007-10-17,1.3497
2007-10-18,0.3027
2007-10-19,-1.3881000000000001
2007-10-22,-2.3256
2007-10-23,6.2657
2007-10-24,-2.0637
2007-10-25,-2.2878
2007-10-26,5.5453
2007-10-29,0.9924
2007-10-30,0.0578
2007-10-31,10.5719
2007-11-01,-2.0899
2007-11-02,-1.9744000000000002
2007-11-05,-0.3266
2007-11-06,0.5461
2007-11-07,-1.6295
2007-11-08,2.0983
2007-11-09,-0.8112
2007-11-12,1.5267
2007-11-13,5.2632
2007-11-14,-3.9796
2007-11-15,-2.0191
2007-11-16,0.4881
2007-11-19,-0.4857
2007-11-20,-0.4338
2007-11-21,-1.1983
2007-11-23,-2.5358
2007-11-26,-1.4706000000000001
2007-11-27,-2.411
2007-11-28,7.4118
2007-11-29,-0.5476
2007-11-30,-2.6982
2007-12-03,-4.4709
2007-12-04,-9.1825
2007-12-05,-2.8702
2007-12-06,2.2163
2007-12-07,-7.6873000000000005
2007-12-10,-5.2669
2007-12-11,-3.5312
2007-12-12,2.8037
2007-12-13,7.9545
2007-12-14,-4.1404
2007-12-17,-2.5622
2007-12-18,8.7904
