ticker,WISA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-27,-6.006
2018-07-30,-6.1089
2018-07-31,7.6463
2018-08-01,-5.2632
2018-08-02,4.6667
2018-08-03,0.2123
2018-08-06,0.2119
2018-08-07,-0.2114
2018-08-08,3.6017
2018-08-09,-2.2495
2018-08-10,-4.6025
2018-08-13,-1.2939
2018-08-14,5.3099
2018-08-15,0.0
2018-08-16,0.211
2018-08-17,2.1053
2018-08-20,-0.0021
2018-08-21,-2.0598
2018-08-22,-2.9432
2018-08-23,3.2493
2018-08-24,0.8403
2018-08-27,0.0
2018-08-28,1.0417
2018-08-29,-0.6186
2018-08-30,-1.1826
2018-08-31,1.8266
2018-09-04,0.4124
2018-09-05,-5.5195
2018-09-06,-0.1347
2018-09-07,-0.9793
2018-09-10,-4.3956
2018-09-11,3.4483
2018-09-12,-3.3333
2018-09-13,-5.7471
2018-09-14,-3.4537
2018-09-17,3.5772
2018-09-18,1.9512
2018-09-19,-2.3923
2018-09-20,13.2353
2018-09-21,-3.6797
2018-09-24,1.6854
2018-09-25,4.0884
2018-09-26,-1.7134
2018-09-27,0.6632
2018-09-28,-7.7253
2018-10-01,4.4186
2018-10-02,-4.2316
2018-10-03,2.3256
2018-10-04,-6.5908999999999995
2018-10-05,3.4307
2018-10-08,3.2698
2018-10-09,-3.1891
2018-10-10,1.6471
2018-10-11,2.5463
2018-10-12,2.7088
2018-10-15,-2.1758
2018-10-16,-0.993
2018-10-17,-2.3713
2018-10-18,3.433
2018-10-19,1.1236
2018-10-22,-1.3333
2018-10-23,1.8580999999999999
2018-10-24,2.8192
2018-10-25,3.4409
2018-10-26,8.7048
2018-10-29,-8.7727
2018-10-30,3.7736
2018-10-31,3.4343
2018-11-01,-6.0547
2018-11-02,-2.2869
2018-11-05,3.8298
2018-11-06,2.6639
2018-11-07,-5.5847999999999995
2018-11-08,-7.6149000000000004
2018-11-09,-2.0595
2018-11-12,4.6729
2018-11-13,1.1161
2018-11-14,-1.766
2018-11-15,-4.0449
2018-11-16,7.7283
2018-11-19,-10.6522
2018-11-20,11.1922
2018-11-21,-1.5316999999999998
2018-11-23,-1.7778
2018-11-26,6.3347999999999995
2018-11-27,-3.1915
2018-11-28,-2.1978
2018-11-29,-4.2697
2018-11-30,3.2864
2018-12-03,-2.5
2018-12-04,-0.7086
2018-12-06,-6.0945
2018-12-07,5.75
2018-12-10,-11.1111
2018-12-11,19.9468
2018-12-12,-4.6563
2018-12-13,-2.3256
2018-12-14,0.0
