ticker,WBBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-10,35.2
2013-04-11,0.2219
2013-04-12,1.845
2013-04-15,-0.942
2013-04-16,-1.1703999999999999
2013-04-17,0.6662
2013-04-18,-1.4706000000000001
2013-04-19,-1.5672000000000001
2013-04-22,0.1516
2013-04-23,-0.2574
2013-04-24,0.3339
2013-04-25,-0.1513
2013-04-26,0.0
2013-04-29,-0.2273
2013-04-30,0.2278
2013-05-01,0.5303
2013-05-02,-0.0744
2013-05-03,-0.0764
2013-05-06,1.1320999999999999
2013-05-07,2.0896
2013-05-08,-1.3158
2013-05-09,-1.2593
2013-05-10,-0.075
2013-05-13,0.976
2013-05-14,-0.7435
2013-05-15,1.0487
2013-05-16,0.9637
2013-05-17,-0.8076
2013-05-20,-0.2961
2013-05-21,0.2227
2013-05-22,-0.6667
2013-05-23,0.5966
2013-05-24,-0.5189
2013-05-28,0.9687
2013-05-29,-0.738
2013-05-30,0.223
2013-05-31,-0.2226
2013-06-03,0.2974
2013-06-04,-0.6672
2013-06-05,-0.2239
2013-06-06,0.5984
2013-06-07,0.0
2013-06-10,0.0
2013-06-11,0.2974
2013-06-12,0.0741
2013-06-13,0.0
2013-06-14,0.0741
2013-06-17,-0.2961
2013-06-18,0.8909
2013-06-19,-0.0736
2013-06-20,-0.4418
2013-06-21,1.0355
2013-06-24,0.2196
2013-06-25,-0.9496
2013-06-26,0.1475
2013-06-27,-0.3682
2013-06-28,0.9608
2013-07-01,-0.8053
2013-07-02,0.738
2013-07-03,-0.5861
2013-07-05,-0.0737
2013-07-08,0.5162
2013-07-09,0.1467
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-15,0.0
2013-07-16,-0.1465
2013-07-17,0.2201
2013-07-18,-0.4392
2013-07-19,-0.2206
2013-07-22,0.1474
2013-07-23,-0.2208
2013-07-24,0.9587
2013-07-25,0.0
2013-07-26,-0.073
2013-07-29,-0.5117
2013-07-30,0.0
2013-07-31,-0.0735
2013-08-01,0.1471
2013-08-02,0.0
2013-08-05,0.2203
2013-08-06,0.2198
2013-08-07,-0.1462
2013-08-08,0.0
2013-08-09,-0.0732
2013-08-12,0.5128
2013-08-13,0.3644
2013-08-14,0.0
2013-08-15,0.0
2013-08-16,-0.2905
2013-08-19,0.2913
2013-08-20,0.1452
2013-08-21,0.4351
2013-08-22,-0.361
2013-08-23,-0.0725
2013-08-26,0.3626
2013-08-27,0.0723
2013-08-28,0.0
2013-08-29,-0.5776
