ticker,SLRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-09,-2.7027
2010-02-10,0.4444
2010-02-11,1.4934
2010-02-12,0.3815
2010-02-16,-0.38
2010-02-17,-0.2725
2010-02-18,-0.3279
2010-02-19,0.1645
2010-02-22,-0.1642
2010-02-23,-0.1645
2010-02-24,1.0434
2010-02-25,-0.7609
2010-02-26,1.0679
2010-03-01,0.4606
2010-03-02,0.5933
2010-03-03,1.126
2010-03-04,-0.1591
2010-03-05,4.0892
2010-03-08,-0.5102
2010-03-09,-0.6667
2010-03-10,-0.1033
2010-03-11,-1.0336
2010-03-12,0.0
2010-03-15,1.4621
2010-03-16,1.0808
2010-03-17,0.7772
2010-03-18,1.0283
2010-03-19,-2.0865
2010-03-22,3.8981
2010-03-23,1.5508
2010-03-24,-0.0493
2010-03-25,2.7107
2010-03-26,5.0864
2010-03-29,0.4566
2010-03-30,-3.2727
2010-03-31,-0.6579
2010-04-01,5.6764
2010-04-05,0.4029
2010-04-06,0.7133
2010-04-07,0.8411
2010-04-08,0.3073
2010-04-09,-0.2626
2010-04-12,0.7459
2010-04-13,2.7439
2010-04-14,0.5935
2010-04-15,-0.8007
2010-04-16,-4.503
2010-04-19,1.0231
2010-04-20,3.4786
2010-04-21,0.0
2010-04-22,0.5957
2010-04-23,-0.3807
2010-04-26,-0.4671
2010-04-27,-3.7116
2010-04-28,1.9938
2010-04-29,1.6942
2010-04-30,-0.6408
2010-05-03,-0.4299
2010-05-04,-1.1226
2010-05-05,0.6114
2010-05-06,-10.8073
2010-05-07,5.7908
2010-05-10,8.1877
2010-05-11,-0.085
2010-05-12,0.1702
2010-05-13,-6.2447
2010-05-14,-4.8482
2010-05-17,0.4286
2010-05-18,-0.5216
2010-05-19,-2.5739
2010-05-20,-2.6419
2010-05-21,1.9598
2010-05-24,0.5421
2010-05-25,1.1275
2010-05-26,-0.2424
2010-05-27,2.8183
2010-05-28,0.8507
2010-06-01,-0.328
2010-06-02,0.094
2010-06-03,0.047
2010-06-04,-1.784
2010-06-07,0.5258
2010-06-08,0.3329
2010-06-09,0.2844
2010-06-10,1.3705
2010-06-11,1.1655
2010-06-14,-3.5945
2010-06-15,-1.3384
2010-06-16,-0.9481
2010-06-17,-1.6120999999999999
2010-06-18,-0.6656
2010-06-21,-0.1031
2010-06-22,-0.9288
2010-06-23,-0.3125
2010-06-24,0.0522
2010-06-25,1.7755
2010-06-28,0.2565
2010-06-29,0.8188
2010-06-30,-2.2335
2010-07-01,-0.8827
