ticker,DLTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-09,-58.3333
2010-09-13,-62.0
2010-09-14,163.1579
2010-09-16,40.0
2010-09-17,14.2857
2010-09-21,25.0
2010-09-22,-20.0
2010-09-24,-55.0
2010-10-01,66.6667
2010-10-18,-43.3333
2010-10-25,-41.1765
2010-10-27,0.0
2010-10-28,-30.0
2010-10-29,0.0
2010-11-16,-71.4286
2010-12-13,200.0
2011-01-26,-33.3333
2011-07-28,180.5555
2011-10-20,0.0
2011-11-04,-75.2475
2011-11-15,0.0
2011-12-13,-40.0
2011-12-14,258.0
2011-12-21,88.0819
2012-01-26,0.0
2012-01-30,-84.1584
2012-02-02,43.75
2012-03-13,-4.3478
2012-03-15,0.0
2012-03-21,0.0
2012-03-26,0.0
2012-03-30,0.0
2012-04-04,-9.0909
2012-04-09,-20.0
2012-04-20,0.0
2012-05-15,0.0
2012-06-04,26.25
2012-06-05,-30.6931
2012-06-13,0.0
2012-06-21,-14.2857
2012-06-22,3.3333
2012-06-25,0.8065
2012-06-26,-4.0
2012-06-27,5.8333
2012-06-28,-3.1496
2012-06-29,-4.065
2012-07-02,-15.2542
2012-07-03,-15.0
2012-07-05,23.5294
2012-07-06,0.0
2012-07-09,30.4762
2012-07-10,7.6642
2012-07-11,-18.6441
2012-07-12,-16.6667
2012-07-13,-28.6875
2012-07-16,-22.8747
2012-07-17,-25.4545
2012-07-18,21.9512
2012-07-19,-34.0
2012-07-20,42.4242
2012-07-23,10.6383
2012-07-24,21.1538
2012-07-25,-20.634900000000002
2012-07-26,44.0
2012-07-27,8.3333
2012-07-30,6.4103
2012-07-31,0.0
2012-08-01,-25.3012
2012-08-02,25.8065
2012-08-03,0.0
2012-08-06,2.5641
2012-08-07,-12.5
2012-08-08,8.5714
2012-08-09,-3.9474
2012-08-10,-3.4247
2012-08-13,2.1277
2012-08-14,0.0
2012-08-15,-2.7778
2012-08-16,2.8571
2012-08-17,-2.7778
2012-08-20,2.8571
2012-08-21,2.0833
2012-08-22,-4.7619
2012-08-23,0.0
2012-08-24,0.0
2012-08-27,-28.5714
2012-08-28,-18.0
2012-08-29,-2.439
2012-08-30,-2.5
2012-09-04,-23.0769
2012-09-05,-6.6667
2012-09-06,42.8571
2012-09-10,-35.0
2012-09-11,53.8462
2012-09-13,0.0
2012-09-14,-35.0
2012-09-17,-11.538499999999999
2012-09-18,2.1739
2012-09-21,-14.8936
2012-09-25,-41.875
2012-10-01,29.0323
2012-10-02,-13.3333
