ticker,BG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-08-02,0.0
2001-08-03,0.0
2001-08-06,0.25
2001-08-07,-0.2494
2001-08-08,0.0
2001-08-09,0.0
2001-08-10,0.0
2001-08-13,0.0
2001-08-14,0.0
2001-08-15,-0.3125
2001-08-16,0.3135
2001-08-17,-0.9375
2001-08-20,0.2524
2001-08-21,0.0629
2001-08-22,0.0629
2001-08-23,-0.0629
2001-08-24,-0.3145
2001-08-27,0.8833
2001-08-28,1.626
2001-08-29,1.3538000000000001
2001-08-30,1.7608000000000001
2001-08-31,8.8902
2001-09-04,-0.9863
2001-09-05,0.7194
2001-09-06,-1.0989
2001-09-07,0.0
2001-09-10,-2.7778
2001-09-17,-2.8571
2001-09-18,0.1765
2001-09-19,2.1726
2001-09-20,-3.4483
2001-09-21,-1.7856999999999998
2001-09-24,3.6364
2001-09-25,2.0468
2001-09-26,1.1461000000000001
2001-09-27,-3.6827
2001-09-28,0.0
2001-10-01,0.0
2001-10-02,-2.9412000000000003
2001-10-03,12.1212
2001-10-04,-6.7568
2001-10-05,-7.2464
2001-10-08,-0.3125
2001-10-09,8.4639
2001-10-10,-4.9133
2001-10-11,-2.1277
2001-10-12,0.9317
2001-10-15,-1.5385
2001-10-16,-0.3125
2001-10-17,2.1944
2001-10-18,1.8405
2001-10-19,0.0602
2001-10-22,8.3685
2001-10-23,-2.0
2001-10-24,-3.3447
2001-10-25,3.5191
2001-10-26,-0.8499
2001-10-29,1.1429
2001-10-30,-0.565
2001-10-31,0.1136
2001-11-01,5.5619
2001-11-02,-1.6129
2001-11-05,-0.5464
2001-11-06,4.1209
2001-11-07,-1.3193
2001-11-08,1.8717000000000001
2001-11-09,-1.0499
2001-11-12,0.7958
2001-11-13,-4.2368
2001-11-14,-0.5525
2001-11-15,3.0556
2001-11-16,-0.7547
2001-11-19,1.032
2001-11-20,2.1505
2001-11-21,0.0
2001-11-23,-0.5263
2001-11-26,1.8519
2001-11-27,-1.039
2001-11-28,0.0
2001-11-29,0.7874
2001-11-30,0.7813
2001-12-03,2.8424
2001-12-04,0.402
2001-12-05,0.1001
2001-12-06,5.75
2001-12-07,12.2931
2001-12-10,-1.0526
2001-12-11,-3.1915
2001-12-12,1.3187
2001-12-13,4.1215
2001-12-14,0.625
2001-12-17,-2.8986
2001-12-18,-2.7719
2001-12-19,1.0965
2001-12-20,-2.3861
2001-12-21,0.0
2001-12-24,-0.4444
2001-12-26,0.0
2001-12-27,2.2768
2001-12-28,0.3055
