ticker,HEP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-08,10.3371
2004-07-09,3.9104
2004-07-12,-0.0392
2004-07-13,-1.3725
2004-07-14,-0.5964
2004-07-15,0.8
2004-07-16,2.3810000000000002
2004-07-19,2.5194
2004-07-20,-1.5123
2004-07-21,1.1516
2004-07-22,-1.2903
2004-07-23,0.1538
2004-07-26,-1.9194
2004-07-27,1.683
2004-07-28,0.2694
2004-07-29,0.5758
2004-07-30,-0.687
2004-08-02,0.4996
2004-08-03,0.4971
2004-08-04,-1.0274
2004-08-05,-0.0384
2004-08-06,-0.6538
2004-08-09,-1.084
2004-08-10,-0.1566
2004-08-11,-0.784
2004-08-12,0.3556
2004-08-13,-0.5118
2004-08-16,4.5113
2004-08-17,1.8554
2004-08-18,2.6394
2004-08-19,-0.3622
2004-08-20,2.5082
2004-08-23,-0.7092
2004-08-24,0.2143
2004-08-25,1.0335
2004-08-26,-0.8466
2004-08-27,1.0317
2004-08-30,-0.493
2004-08-31,1.9108
2004-09-01,0.3472
2004-09-02,-1.2111
2004-09-03,0.7005
2004-09-07,0.1739
2004-09-08,0.3125
2004-09-09,-0.1731
2004-09-10,-0.1387
2004-09-13,0.7639
2004-09-14,-2.7223
2004-09-15,1.3107
2004-09-16,-1.1538
2004-09-17,3.0067
2004-09-20,-0.206
2004-09-21,-0.1376
2004-09-22,0.9649
2004-09-23,-1.0239
2004-09-24,-0.2759
2004-09-27,0.4495
2004-09-28,1.7212
2004-09-29,0.0338
2004-09-30,-0.9811
2004-10-01,1.4691
2004-10-04,1.0101
2004-10-05,0.5333
2004-10-06,2.2878
2004-10-07,0.4862
2004-10-08,0.9677
2004-10-11,-0.9585
2004-10-12,-0.3226
2004-10-13,-2.1036
2004-10-14,-0.4959
2004-10-15,-0.3322
2004-10-18,-3.0
2004-10-19,0.1718
2004-10-20,1.3721999999999999
2004-10-21,1.0829
2004-10-22,1.2722
2004-10-25,0.4959
2004-10-26,0.6579
2004-10-27,-1.2418
2004-10-28,0.5956
2004-10-29,1.1513
2004-11-01,1.626
2004-11-02,0.832
2004-11-03,1.2694
2004-11-04,0.7521
2004-11-05,-0.4666
2004-11-08,-0.1563
2004-11-09,-0.3912
2004-11-10,-1.561
2004-11-11,4.2071
2004-11-12,2.3292
2004-11-15,-0.1517
2004-11-16,1.8237
2004-11-17,1.5224
2004-11-18,-1.9405999999999999
2004-11-19,0.7496
2004-11-22,2.0833
2004-11-23,0.5248
2004-11-24,-0.8121
