ticker,RUHN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-03,-37.2
2019-04-04,9.6815
2019-04-05,-1.1614
2019-04-08,-17.1563
2019-04-09,-13.7589
2019-04-10,7.5658
2019-04-11,-4.2813
2019-04-12,9.7444
2019-04-15,6.9869
2019-04-16,-7.619
2019-04-17,-2.2091
2019-04-18,0.3012
2019-04-22,-4.5045
2019-04-23,6.9182
2019-04-24,2.7941000000000003
2019-04-25,1.0014
2019-04-26,1.2748
2019-04-29,2.0979
2019-04-30,3.9726
2019-05-01,-6.9829
2019-05-02,-4.8159
2019-05-03,1.0417
2019-05-06,-8.9838
2019-05-07,0.0
2019-05-08,-3.5599
2019-05-09,-4.0268
2019-05-10,-0.1748
2019-05-13,-8.7566
2019-05-14,0.1919
2019-05-15,-3.4483
2019-05-16,-11.7063
2019-05-17,-4.4944
2019-05-20,-12.2353
2019-05-21,-3.4853
2019-05-22,11.1111
2019-05-23,0.25
2019-05-24,-1.2469000000000001
2019-05-28,-2.0202
2019-05-29,-3.0928
2019-05-30,0.266
2019-05-31,-0.5305
2019-06-03,-1.8667
2019-06-04,1.087
2019-06-05,-1.8817
2019-06-06,-9.863
2019-06-07,-2.4316
2019-06-10,0.9346
2019-06-11,4.6296
2019-06-12,-3.8348
2019-06-13,23.0061
2019-06-14,-6.2344
2019-06-17,3.1915
2019-06-18,-2.5773
2019-06-19,-0.7937
2019-06-20,-4.8
2019-06-21,-2.521
2019-06-24,-8.6207
2019-06-25,-2.5157
2019-06-26,0.6452
2019-06-27,2.2436
2019-06-28,7.837
2019-07-01,1.7442
2019-07-02,4.8571
2019-07-03,-2.1798
2019-07-05,-2.507
2019-07-08,0.2857
2019-07-09,0.9972
2019-07-10,0.9873
2019-07-11,0.5587
2019-07-12,0.5556
2019-07-15,-0.2762
2019-07-16,-0.554
2019-07-17,1.1142
2019-07-18,0.2755
2019-07-19,0.5495
2019-07-22,5.1913
2019-07-23,-0.5195
2019-07-24,-3.6554
2019-07-25,2.71
2019-07-26,-1.0554
2019-07-29,-2.4
2019-07-30,-0.8197
2019-07-31,-0.8264
2019-08-01,4.7222
2019-08-02,-2.9177999999999997
2019-08-05,-5.1913
2019-08-06,0.2882
2019-08-07,-1.4368
2019-08-08,-0.2915
2019-08-09,2.924
2019-08-12,-1.4205
2019-08-13,9.7983
2019-08-14,10.2362
2019-08-15,9.5238
2019-08-16,1.9565000000000001
2019-08-19,-4.0512
2019-08-20,-0.8889
2019-08-21,2.6906
