ticker,AXBSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-23,-7.4627
2015-01-09,37.0968
2015-01-28,-42.1324
2015-02-23,-8.5133
2015-02-26,7.7778
2015-03-12,27.8351
2015-03-23,-0.9577
2015-04-14,-5.5471
2015-05-15,34.4828
2015-06-11,-9.8157
2015-07-08,-33.9849
2015-07-22,-16.1507
2015-09-14,-8.8283
2015-10-12,5.6338
2015-10-23,-8.4167
2015-11-11,-7.5523
2015-12-07,3.9370000000000003
2016-05-06,7.4242
2016-05-31,7.3343
2016-06-06,-14.8489
2016-06-09,3.4722
2016-06-10,-5.8911
2016-06-21,4.2987
2016-07-27,-5.1567
2016-09-27,-32.9829
2016-09-28,0.4034
2016-09-29,-7.1429
2016-10-05,-1.5385
2016-10-13,3.3854
2016-11-08,-34.5088
2016-11-21,-60.7692
2016-12-14,-61.7647
2016-12-15,0.0
2016-12-20,133.6538
2016-12-23,-24.417
2017-01-04,66.5154
2017-01-11,-35.4223
2017-02-01,-10.7173
2017-02-03,-16.8242
2017-02-08,-22.0455
2017-02-15,-84.8397
2017-02-16,56.7308
2017-05-08,-90.184
2018-08-30,900.0
2018-12-12,-99.0
2018-12-19,-90.0
2019-01-29,199900.0051
2019-02-19,0.0
2019-02-21,0.0
2019-02-27,-99.95
2019-03-14,199900.0051
2019-03-15,-95.0
2019-05-14,-99.9
2019-12-30,9900.0
