ticker,PHGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-26,0.0
2001-11-06,0.0
2002-06-07,-60.0
2005-04-20,20.0
2005-04-21,0.0
2005-06-08,0.0
2005-06-28,0.0
2005-06-30,-60.0
2005-07-15,233.3333
2005-08-10,-22.0
2005-08-26,-59.9359
2005-11-22,-4.0
2006-01-05,0.0
2006-09-19,0.0
2008-12-10,25.0
2008-12-23,0.0
2014-05-28,0.0
2014-07-17,166.6667
2014-10-10,-62.5
2014-12-11,166.6667
2015-03-16,-37.5
2015-05-11,-39.2
2016-05-19,52.6316
2016-12-22,72.4138
2017-01-18,-6.0
2017-03-30,2.6596
2017-05-09,55.4404
2018-03-23,16.6667
2018-06-27,5.7143
2019-02-13,-45.9459
2019-09-27,-15.0
2020-05-13,47.0588
2020-06-09,20.0
