ticker,JD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-22,10.0
2014-05-23,-3.8278
2014-05-27,14.2786
2014-05-28,7.8798
2014-05-29,2.502
2014-05-30,-1.5748
2014-06-02,-1.6
2014-06-03,2.0325
2014-06-04,-2.2311
2014-06-05,5.053
2014-06-06,3.1032
2014-06-09,6.9601
2014-06-10,-0.2814
2014-06-11,2.2928
2014-06-12,-6.3103
2014-06-13,2.2819
2014-06-16,-3.2386
2014-06-17,0.4797
2014-06-18,-1.8468
2014-06-19,-2.6018
2014-06-20,-1.4712
2014-06-23,3.6149
2014-06-24,2.5408
2014-06-25,0.1109
2014-06-26,4.5438
2014-06-27,-1.0247
2014-06-30,1.7851
2014-07-01,4.1389
2014-07-02,-2.4587
2014-07-03,-4.0401
2014-07-07,-0.5757
2014-07-08,-4.1983
2014-07-09,-0.4156
2014-07-10,5.0835
2014-07-11,-2.3827
2014-07-14,3.6982
2014-07-15,0.6063
2014-07-16,3.1904
2014-07-17,-5.3251
2014-07-18,0.9439
2014-07-21,2.5881
2014-07-22,0.6657
2014-07-23,-2.9586
2014-07-24,4.1966
2014-07-25,-0.0688
2014-07-28,1.5846
2014-07-29,0.4408
2014-07-30,-1.8569
2014-07-31,-1.6856
2014-08-01,-2.2393
2014-08-04,-0.5369
2014-08-05,-0.2159
2014-08-06,-0.7934
2014-08-07,-0.1091
2014-08-08,3.2023
2014-08-11,-0.5289
2014-08-12,1.9851
2014-08-13,5.9089
2014-08-14,-1.5097
2014-08-15,-1.4329
2014-08-18,1.5551
2014-08-19,0.5659
2014-08-20,2.3833
2014-08-21,-0.3556
2014-08-22,0.4543
2014-08-25,1.2274
2014-08-26,2.1378
2014-08-27,1.9681
2014-08-28,-3.6765
2014-08-29,1.5267
2014-09-02,-2.6629
2014-09-03,-0.8368
2014-09-04,-1.7851
2014-09-05,-4.0648
2014-09-08,0.3445
2014-09-09,-0.2403
2014-09-10,-2.4432
2014-09-11,2.716
2014-09-12,0.4464
2014-09-15,-1.2991
2014-09-16,-3.7063
2014-09-17,1.0791
2014-09-18,5.1601
2014-09-19,-4.0609
2014-09-22,-4.8677
2014-09-23,-1.4830999999999999
2014-09-24,2.2958
2014-09-25,-2.2443
2014-09-26,1.3549
2014-09-29,-2.228
2014-09-30,-1.937
2014-10-01,-3.0984
2014-10-02,2.6779
2014-10-03,1.1288
2014-10-06,-0.077
2014-10-07,-2.3498
2014-10-08,4.142
2014-10-09,-2.803
2014-10-10,-2.5331
