ticker,CMGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-04,566.6667
2007-10-05,25.0
2007-10-09,0.0
2007-10-10,0.0
2007-10-11,0.0
2007-10-15,0.0
2007-10-16,0.0
2007-10-19,0.0
2007-10-23,0.0
2007-10-24,0.0
2007-11-02,0.0
2007-11-06,0.0
2007-11-12,0.0
2007-11-13,-12.0
2007-11-29,36.3636
2007-12-04,0.0
2008-03-05,-50.0
2008-03-26,566.6667
2008-07-21,-15.0
2008-07-22,-5.8824
2008-07-24,0.0
2008-07-29,0.0
2008-08-07,0.0
2008-08-25,-6.25
2008-08-29,-20.0
2008-10-07,-58.3333
2008-10-28,-4.0
2008-11-03,4.1667
2008-11-17,0.0
2008-11-18,0.0
2008-11-20,-20.0
2008-11-24,45.0
2008-12-01,3.4483
2008-12-02,16.6667
2008-12-03,0.0
2008-12-04,-14.2857
2008-12-05,33.3333
2008-12-08,10.0
2008-12-09,0.0
2008-12-10,-31.8182
2008-12-11,36.6667
2008-12-17,-17.0732
2008-12-18,0.0
2008-12-26,-58.8235
2008-12-29,21.4286
2009-01-07,-41.1765
2009-01-08,70.0
2009-01-09,-41.1765
2009-01-22,0.0
2009-01-26,-40.0
2009-01-27,-33.3333
2009-01-28,25.0
2009-01-29,-20.0
2009-01-30,25.0
2009-02-02,-40.0
2009-02-05,33.3333
2009-02-06,25.0
2009-02-09,0.0
2009-02-11,60.0
2009-02-12,12.5
2009-02-13,11.1111
2009-02-18,-60.0
2009-02-19,0.0
2009-02-20,-25.0
2009-02-23,0.0
2009-02-24,66.6667
2009-02-25,0.0
2009-02-26,-40.0
2009-02-27,16.6667
2009-03-02,-28.5714
2009-03-03,-40.0
2009-03-06,166.6667
2009-03-09,12.5
2009-03-10,0.0
2009-03-11,11.1111
2009-03-12,0.0
2009-03-13,0.0
2009-03-16,20.0
2009-03-17,0.0
2009-03-18,41.6667
2009-03-19,11.7647
2009-03-20,-21.0526
2009-03-23,-46.6667
2009-03-24,-25.0
2009-03-25,66.6667
2009-03-26,-40.0
2009-03-27,50.0
2009-03-30,11.1111
2009-04-03,50.0
2009-04-06,0.0
2009-04-08,-60.0
2009-04-09,0.0
2009-04-13,0.0
2009-04-14,-16.6667
2009-04-16,20.0
2009-04-17,83.3333
2009-04-20,-45.4545
2009-04-24,100.0
2009-04-27,16.6667
2009-04-28,-7.1429
2009-04-29,-38.4615
2009-05-04,-25.0
2009-05-05,66.6667
2009-05-06,45.0
2009-05-07,-17.2414
