ticker,LVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-15,60.5517
2004-12-16,5.4768
2004-12-17,7.921
2004-12-20,-8.3019
2004-12-21,-2.5103
2004-12-22,2.385
2004-12-23,-0.0206
2004-12-27,-1.7526000000000002
2004-12-28,0.9444
2004-12-29,-0.4366
2004-12-30,-0.0835
2004-12-31,0.3135
2005-01-03,1.0625
2005-01-04,1.9584000000000001
2005-01-05,-1.2333
2005-01-06,-1.7605
2005-01-07,-5.0844
2005-01-10,-0.9221
2005-01-11,-0.9085
2005-01-12,-3.6225
2005-01-13,-1.3921000000000001
2005-01-14,2.1176
2005-01-18,4.1705
2005-01-19,-1.9022000000000001
2005-01-20,-1.3303
2005-01-21,-1.6225
2005-01-24,-2.3229
2005-01-25,0.1189
2005-01-26,-0.095
2005-01-27,-0.0238
2005-01-28,0.3567
2005-01-31,2.8436
2005-02-01,-0.3687
2005-02-02,4.4172
2005-02-03,1.3289
2005-02-04,4.0874
2005-02-07,2.7929
2005-02-08,-3.9632
2005-02-09,0.6382
2005-02-10,0.5073
2005-02-11,-1.0515
2005-02-14,2.0404
2005-02-15,5.7905
2005-02-16,-2.1067
2005-02-17,0.8648
2005-02-18,-2.1934
2005-02-22,-2.9154
2005-02-23,-0.462
2005-02-24,-0.1899
2005-02-25,2.5153
2005-02-28,-1.2371
2005-03-01,4.4259
2005-03-02,-0.08
2005-03-03,-0.5602
2005-03-04,-2.7565
2005-03-07,3.0416
2005-03-08,-4.9197
2005-03-09,-4.7518
2005-03-10,1.3969
2005-03-11,0.5686
2005-03-14,3.2181
2005-03-15,4.0657
2005-03-16,-2.2065
2005-03-17,0.414
2005-03-18,0.4741
2005-03-21,-0.8822
2005-03-22,-3.7673
2005-03-23,-1.5702
2005-03-24,0.5245
2005-03-28,-0.0435
2005-03-29,-4.3062000000000005
2005-03-30,3.6591
2005-03-31,-1.3374
2005-04-01,-1.6444
2005-04-04,-3.1631
2005-04-05,-1.7499
2005-04-06,4.0133
2005-04-07,0.7991
2005-04-08,-1.6308
2005-04-11,0.1842
2005-04-12,1.0113
2005-04-13,0.1138
2005-04-14,-1.5909
2005-04-15,-5.6582
2005-04-18,-2.448
2005-04-19,-0.1255
2005-04-20,-4.8492
2005-04-21,-1.2939
2005-04-22,-1.0166
2005-04-25,0.7027
2005-04-26,3.9989
2005-04-27,-0.7742
2005-04-28,-1.1703999999999999
2005-04-29,-1.4474
2005-05-02,2.2697
2005-05-03,-5.7440999999999995
2005-05-04,0.0831
