ticker,FAF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-25,-6.9767
2010-05-26,-1.0714
2010-05-27,2.5271
2010-05-28,1.7606000000000002
2010-06-01,-2.4221
2010-06-02,2.695
2010-06-03,-4.489
2010-06-04,-0.7231
2010-06-07,-1.1653
2010-06-08,-0.4422
2010-06-09,-3.849
2010-06-10,-5.2348
2010-06-11,6.4988
2010-06-14,1.6781000000000001
2010-06-15,-0.9002
2010-06-16,1.5897000000000001
2010-06-17,0.5216
2010-06-18,-0.0741
2010-06-21,-1.4095
2010-06-22,1.0534
2010-06-23,-0.2978
2010-06-24,-0.9709
2010-06-25,3.092
2010-06-28,-1.6825
2010-06-29,-5.2317
2010-06-30,0.0
2010-07-01,-0.2366
2010-07-02,2.6087
2010-07-06,0.6163
2010-07-07,3.9051
2010-07-08,0.0737
2010-07-09,2.2091
2010-07-12,-0.2882
2010-07-13,2.8902
2010-07-14,-4.4242
2010-07-15,-0.8082
2010-07-16,-5.037
2010-07-19,1.6381000000000001
2010-07-20,4.2978
2010-07-21,-0.0736
2010-07-22,6.9956
2010-07-23,1.7894
2010-07-26,0.6761
2010-07-27,0.3358
2010-07-28,-0.8032
2010-07-29,0.0
2010-07-30,-0.4723
2010-08-02,0.8814
2010-08-03,0.0672
2010-08-04,0.3358
2010-08-05,-0.7363
2010-08-06,0.1349
2010-08-09,1.5488
2010-08-10,-4.3103
2010-08-11,-5.4747
2010-08-12,-0.2933
2010-08-13,-0.2206
2010-08-16,3.3898
2010-08-17,1.1404
2010-08-18,-0.2114
2010-08-19,-1.4123999999999999
2010-08-20,0.5731
2010-08-23,-1.0684
2010-08-24,-1.3679000000000001
2010-08-25,3.6496
2010-08-26,-3.8028
2010-08-27,5.6369
2010-08-30,1.0395
2010-08-31,1.7147000000000001
2010-09-01,4.855
2010-09-02,0.7074
2010-09-03,-0.7663
2010-09-07,-5.4054
2010-09-08,0.068
2010-09-09,-0.6118
2010-09-10,-1.026
2010-09-13,3.6628
2010-09-14,-1.3333
2010-09-15,1.7568000000000001
2010-09-16,-1.8592
2010-09-17,-2.3681
2010-09-20,2.2176
2010-09-21,-1.2203
2010-09-22,0.4118
2010-09-23,-1.2303
2010-09-24,2.7682
2010-09-27,-0.6061
2010-09-28,2.5745
2010-09-29,-1.9893999999999998
2010-09-30,1.0825
2010-10-01,-3.079
2010-10-04,-3.6602
2010-10-05,-0.3584
2010-10-06,1.7986
2010-10-07,0.1413
2010-10-08,-0.3529
2010-10-11,0.6374
