ticker,ATH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-09,10.125
2016-12-12,3.2917
2016-12-13,-0.0879
2016-12-14,0.7919
2016-12-15,2.357
2016-12-16,-0.8316
2016-12-19,-1.6771
2016-12-20,-0.6123
2016-12-21,0.5281
2016-12-22,2.8453
2016-12-23,-0.532
2016-12-27,0.3423
2016-12-28,-0.1493
2016-12-29,0.5979
2016-12-30,1.8679999999999999
2017-01-03,-0.3542
2017-01-04,0.4391
2017-01-05,-1.7281
2017-01-06,-0.1695
2017-01-09,-0.4032
2017-01-10,-0.4262
2017-01-11,-1.7762
2017-01-12,0.7407
2017-01-13,1.5138
2017-01-17,-1.8747
2017-01-18,0.3474
2017-01-19,-0.3678
2017-01-20,0.608
2017-01-23,0.0432
2017-01-24,0.0216
2017-01-25,1.4236
2017-01-26,-0.1276
2017-01-27,0.1704
2017-01-30,-0.6165
2017-01-31,0.385
2017-02-01,0.5114
2017-02-02,-0.2756
2017-02-03,2.0408
2017-02-06,2.1458
2017-02-07,2.5903
2017-02-08,-0.1789
2017-02-09,2.1111
2017-02-10,1.1703000000000001
2017-02-13,-0.1735
2017-02-14,1.1008
2017-02-15,-0.7832
2017-02-16,-1.367
2017-02-17,-1.5030000000000001
2017-02-21,1.2089
2017-02-22,0.7441
2017-02-23,1.0107
2017-02-24,0.2117
2017-02-27,0.576
2017-02-28,-0.7827
2017-03-01,1.5201
2017-03-02,-1.8954
2017-03-03,0.5023
2017-03-06,-0.8843
2017-03-07,-0.2327
2017-03-08,-0.3694
2017-03-09,0.722
2017-03-10,-1.4142000000000001
2017-03-13,-0.0786
2017-03-14,-0.6883
2017-03-15,1.7822
2017-03-16,4.5136
2017-03-17,-2.9784
2017-03-20,-0.3262
2017-03-21,-1.3474
2017-03-22,-1.9707
2017-03-23,1.4132
2017-03-24,-0.0589
2017-03-27,-0.4124
2017-03-28,-1.7551
2017-03-29,0.1004
2017-03-30,-0.2206
2017-03-31,0.4622
2017-04-03,1.0202
2017-04-04,0.4752
2017-04-05,0.6504
2017-04-06,1.449
2017-04-07,0.3667
2017-04-10,0.3846
2017-04-11,-0.5747
2017-04-12,-1.0597
2017-04-13,0.6621
2017-04-17,3.2115
2017-04-18,-0.2999
2017-04-19,0.5828
2017-04-20,-0.0374
2017-04-21,-1.2154
2017-04-24,1.7414
2017-04-25,0.707
2017-04-26,0.1663
2017-04-27,-0.8668
2017-04-28,-0.8186
2017-05-01,0.6378
2017-05-02,1.2116
