ticker,ARVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-27,0.3125
2018-09-28,5.109
2018-10-01,-5.0978
2018-10-02,-7.4953
2018-10-03,5.6718
2018-10-04,-1.5974
2018-10-05,-2.5324999999999998
2018-10-08,-0.9327
2018-10-09,-0.538
2018-10-10,-2.3665
2018-10-11,-5.1247
2018-10-12,5.4745
2018-10-15,3.8062
2018-10-16,3.0
2018-10-17,1.9417
2018-10-18,-1.9048
2018-10-19,0.712
2018-10-22,-4.9486
2018-10-23,-3.3807
2018-10-24,4.4787
2018-10-25,7.9035
2018-10-26,-0.3724
2018-10-29,5.2336
2018-10-30,-0.7105
2018-10-31,-3.0411
2018-11-01,5.0431
2018-11-02,3.7471
2018-11-05,2.4266
2018-11-06,0.6061
2018-11-07,1.6429
2018-11-08,0.0
2018-11-09,-0.8621
2018-11-12,-11.6304
2018-11-13,4.92
2018-11-14,-3.6342
2018-11-15,-4.7445
2018-11-16,4.917
2018-11-19,4.7474
2018-11-20,2.4985
2018-11-21,-3.8548999999999998
2018-11-23,3.9505
2018-11-26,4.0839
2018-11-27,-5.9946
2018-11-28,4.7536000000000005
2018-11-29,-6.4748
2018-11-30,0.0592
2018-12-03,-9.5801
2018-12-04,11.1838
2018-12-06,-7.1176
2018-12-07,5.0665
2018-12-10,2.7728
2018-12-11,-1.349
2018-12-12,-6.0048
2018-12-13,1.1385
2018-12-14,-11.1945
2018-12-17,8.3099
2018-12-18,0.3251
2018-12-19,5.2495
2018-12-20,-12.2537
2018-12-21,-12.4912
2018-12-24,-10.2646
2018-12-26,19.7498
2018-12-27,-6.4925
2018-12-28,5.0279
2018-12-31,-2.3556
2019-01-02,7.4708
2019-01-03,-1.8827
2019-01-04,6.3469
2019-01-07,6.1763
2019-01-08,-1.1111
2019-01-09,7.1381
2019-01-10,0.3701
2019-01-11,1.2293
2019-01-14,-1.275
2019-01-15,-0.9225
2019-01-16,1.1173
2019-01-17,-0.3683
2019-01-18,2.5878
2019-01-22,-1.4414
2019-01-23,1.5844
2019-01-24,-2.5195
2019-01-25,4.9846
2019-01-28,-0.1758
2019-01-29,1.2918
2019-01-30,0.4058
2019-01-31,0.5196
2019-02-01,3.274
2019-02-04,13.96
2019-02-05,-6.0517
2019-02-06,0.987
2019-02-07,3.8066
2019-02-08,1.5857
2019-02-11,4.3902
2019-02-12,3.0374
2019-02-13,1.5873
2019-02-14,0.3571
2019-02-15,5.8274
2019-02-19,-7.1459
2019-02-20,-0.498
