ticker,EWST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-07,1900.0
2020-07-08,-2.0
2020-07-10,-79.5918
2020-07-13,30.0
2020-07-15,34.6154
2020-07-17,-14.2857
