ticker,SHLDQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-04-29,10.6762
2003-04-30,-3.537
2003-05-02,0.0
2003-05-05,0.0
2003-05-06,0.0
2003-05-07,-9.6667
2003-05-08,-5.1661
2003-05-09,2.7237
2003-05-12,21.9697
2003-05-13,-5.5901
2003-05-14,-5.5921
2003-05-15,-1.7422
2003-05-16,-0.7092
2003-05-19,0.3571
2003-05-20,-0.8541
2003-05-21,1.9383
2003-05-22,3.169
2003-05-23,0.6826
2003-05-27,0.9492
2003-05-28,3.7609
2003-05-29,2.589
2003-05-30,0.3155
2003-06-02,-0.9434
2003-06-03,-4.4444
2003-06-04,-0.3322
2003-06-05,2.3333
2003-06-06,4.2345
2003-06-09,10.625
2003-06-10,10.7345
2003-06-11,-1.7806
2003-06-12,-3.5894
2003-06-13,-0.3233
2003-06-16,21.6324
2003-06-17,-3.253
2003-06-18,0.1378
2003-06-19,5.2294
2003-06-20,9.8518
2003-06-23,4.2063
2003-06-24,-5.1409
2003-06-25,2.9707
2003-06-26,-2.4172000000000002
2003-06-27,2.4371
2003-06-30,4.9142
2003-07-01,-3.5316
2003-07-02,2.659
2003-07-03,-3.4159
2003-07-07,0.3498
2003-07-08,0.5422
2003-07-09,-1.4638
2003-07-10,-1.4855
2003-07-11,-3.9683
2003-07-14,1.6529
2003-07-15,-0.6098
2003-07-16,1.0225
2003-07-17,-2.3482
2003-07-18,0.539
2003-07-21,-1.1959
2003-07-22,1.2104
2003-07-23,-1.567
2003-07-24,-4.2731
2003-07-25,1.4003999999999999
2003-07-28,-1.3811
2003-07-29,1.3129
2003-07-30,-2.9806
2003-07-31,4.1852
2003-08-01,-0.2137
2003-08-04,0.4711
2003-08-05,0.5541
2003-08-06,0.1272
2003-08-07,2.7519
2003-08-08,2.3898
2003-08-11,-1.7304
2003-08-12,-2.1294
2003-08-13,0.6276
2003-08-14,1.4553
2003-08-15,0.082
2003-08-18,-0.1638
2003-08-19,0.4922
2003-08-20,-0.4082
2003-08-21,7.7869
2003-08-22,7.4144
2003-08-25,0.885
2003-08-26,0.3509
2003-08-27,0.3497
2003-08-28,2.5784000000000002
2003-08-29,4.178
2003-09-02,-5.0212
2003-09-03,1.7851
2003-09-04,0.1012
2003-09-05,1.2466
2003-09-08,-1.9301
2003-09-09,-4.3095
2003-09-10,-0.7447
2003-09-11,-0.1072
2003-09-12,-2.6109
2003-09-15,-0.8447
2003-09-16,-0.7407
2003-09-17,2.5373
2003-09-18,-0.0728
