ticker,CELC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-20,50.4211
2017-09-21,-6.1582
2017-09-22,1.6406
2017-09-25,2.1277
2017-09-26,0.431
2017-09-27,-7.01
2017-09-28,-8.1538
2017-09-29,2.5126
2017-10-02,-0.9804
2017-10-03,5.7756
2017-10-04,-1.6381000000000001
2017-10-05,-0.3172
2017-10-06,3.8982
2017-10-09,-2.9862
2017-10-10,1.026
2017-10-11,8.8281
2017-10-12,1.9383
2017-10-13,7.7465
2017-10-16,1.1764999999999999
2017-10-17,3.0362
2017-10-18,2.5705
2017-10-19,-0.7946
2017-10-20,0.0616
2017-10-23,-2.2167
2017-10-24,0.5668
2017-10-25,2.6925
2017-10-26,-1.7683
2017-10-27,1.4277
2017-10-30,11.7503
2017-10-31,-1.4786000000000001
2017-11-01,3.2796
2017-11-02,-0.1615
2017-11-03,6.9003
2017-11-06,7.6652000000000005
2017-11-07,-3.5597
2017-11-08,-1.457
2017-11-09,0.4436
2017-11-10,6.2316
2017-11-13,-3.0023
2017-11-14,-2.6667
2017-11-15,-0.9785
2017-11-16,-1.2846
2017-11-17,-8.6587
2017-11-20,-5.7534
2017-11-21,5.1744
2017-11-22,5.5832
2017-11-24,-3.5079000000000002
2017-11-27,1.8991
2017-11-28,-0.1597
2017-11-29,-6.1867
2017-11-30,4.6049
2017-12-01,-2.1739
2017-12-04,-0.5
2017-12-05,2.0101
2017-12-06,-2.2989
2017-12-07,0.7843
2017-12-08,0.667
2017-12-11,-0.7178
2017-12-12,0.723
2017-12-13,3.7548
2017-12-14,3.7786
2017-12-15,-3.6923
2017-12-18,1.8104
2017-12-19,1.2029
2017-12-20,-1.8088
2017-12-21,-0.6316
2017-12-22,0.9004
2017-12-26,-0.2625
2017-12-27,0.0
2017-12-28,-0.1053
2017-12-29,-0.1581
2018-01-02,8.285
2018-01-03,-0.9747
2018-01-04,3.248
2018-01-05,1.5253
2018-01-08,-3.3333
2018-01-09,-2.4769
2018-01-10,-0.3984
2018-01-11,-2.5
2018-01-12,0.7179
2018-01-16,-2.3422
2018-01-17,1.7205
2018-01-18,-0.3075
2018-01-19,-1.3368
2018-01-22,1.4591
2018-01-23,0.7704
2018-01-24,-3.1091
2018-01-25,1.1573
2018-01-26,0.26
2018-01-29,-6.5870999999999995
2018-01-30,0.6108
2018-01-31,-6.8985
2018-02-01,-1.7189999999999999
2018-02-02,-1.6888
2018-02-05,-1.411
2018-02-06,0.56
2018-02-07,3.1559
2018-02-08,-0.9598
