ticker,NAHD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-11,8.3333
2007-06-18,7.6923
2007-06-20,-14.2857
2007-06-21,-60.0
2007-06-22,4.1667
2007-06-25,0.0
2007-06-26,0.0
2007-06-27,-58.0
2007-06-28,-52.381
2007-06-29,98.0
2007-07-02,122.2222
2007-07-10,-31.8182
2007-07-11,33.3333
2007-07-17,-5.0
2007-07-18,-47.3684
2007-07-19,100.0
2007-07-23,-40.0
2007-07-24,-33.3333
2007-07-25,-25.0
2007-07-26,16.6667
2007-07-27,-28.5714
2007-07-30,-40.0
2007-07-31,-33.3333
2007-08-01,0.0
2007-08-02,25.0
2007-08-03,0.0
2007-08-06,-20.0
2007-08-07,-5.0
2007-08-08,-10.526299999999999
2007-08-09,-47.0588
2007-08-10,-11.1111
2007-08-13,-37.5
2007-08-14,0.0
2007-08-15,-66.25
2007-08-16,225.9259
2007-08-17,-45.4545
2007-08-20,0.0
2007-08-21,66.6667
2007-08-22,-40.0
2007-08-23,0.0
2007-08-24,33.3333
2007-08-27,-12.5
2007-08-28,14.2857
2007-08-29,-25.0
2007-08-30,0.0
2007-08-31,16.6667
2007-09-04,-14.2857
2007-09-05,0.0
2007-09-06,0.0
2007-09-07,0.0
2007-09-10,-16.6667
2007-09-11,-20.0
2007-09-12,25.0
2007-09-13,-20.0
2007-09-14,0.0
2007-09-17,6.25
2007-09-18,-5.8824
2007-09-20,0.0
2007-09-21,9.375
2007-09-24,-54.2857
2007-09-25,0.0
2007-09-26,12.5
2007-09-27,77.7778
2007-09-28,25.0
2007-10-01,0.0
2007-10-02,-20.0
2007-10-03,-6.25
2007-10-04,-13.3333
2007-10-05,34.6154
2007-10-08,8.5714
2007-10-09,-28.947400000000002
2007-10-10,37.037
2007-10-11,116.2162
2007-10-12,20.0
2007-10-15,-33.3333
2007-10-16,12.5
2007-10-17,22.2222
2007-10-18,27.2727
2007-10-19,7.1429
2007-10-22,-6.6667
2007-10-23,-21.4286
2007-10-24,-9.0909
2007-10-25,20.0
2007-10-26,-8.3333
2007-10-29,25.0
2007-10-30,-14.5455
2007-11-01,-14.8936
2007-11-02,-37.5
2007-11-05,76.0
2007-11-06,-9.0909
2007-11-07,-20.0
2007-11-08,0.0
2007-11-09,-25.0
2007-11-12,0.0
2007-11-13,33.3333
2007-11-14,-25.0
2007-11-15,29.1667
2007-11-16,-22.5806
2007-11-19,0.0
2007-11-20,33.3333
2007-11-21,20.3125
2007-11-23,45.4545
2007-11-26,0.0
