ticker,SMMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-06,0.9814
2015-03-09,2.4295
2015-03-10,8.9184
2015-03-11,-4.2683
2015-03-12,-2.9116999999999997
2015-03-13,0.2812
2015-03-16,0.5619
2015-03-17,4.088
2015-03-18,2.5893
2015-03-19,3.5683
2015-03-20,-0.6723
2015-03-23,3.1303
2015-03-24,-1.5587
2015-03-25,-5.1667
2015-03-26,1.9332
2015-03-27,-2.5862
2015-03-30,8.4071
2015-03-31,1.1429
2015-04-01,1.4527999999999999
2015-04-02,3.8186
2015-04-06,4.8276
2015-04-07,-1.9737
2015-04-08,1.4169
2015-04-09,-2.9412000000000003
2015-04-10,-1.5152
2015-04-13,-0.8462
2015-04-14,1.0861
2015-04-15,-0.614
2015-04-16,-6.1776
2015-04-17,3.7037
2015-04-20,-4.3651
2015-04-21,-3.8174
2015-04-22,-5.0906
2015-04-23,-4.5443
2015-04-24,-1.9059
2015-04-27,-0.5825
2015-04-28,0.4883
2015-04-29,1.1662
2015-04-30,0.2882
2015-05-01,4.6935
2015-05-04,4.7575
2015-05-05,-0.1747
2015-05-06,-3.3257
2015-05-07,-1.2647
2015-05-08,-3.1267
2015-05-11,0.7664
2015-05-12,-3.2864
2015-05-13,-1.3592
2015-05-14,3.3465
2015-05-15,-3.5238
2015-05-18,1.1846
2015-05-19,2.5366
2015-05-20,7.9924
2015-05-21,-3.0837
2015-05-22,1.6364
2015-05-26,-3.22
2015-05-27,0.7394
2015-05-28,-4.4954
2015-05-29,-0.2882
2015-06-01,3.0672
2015-06-02,-1.7608000000000001
2015-06-03,-2.3787
2015-06-04,4.9708
2015-06-05,0.0
2015-06-08,1.2071
2015-06-09,-0.9174
2015-06-10,1.6852
2015-06-11,1.9851
2015-06-12,2.6786
2015-06-15,-0.8696
2015-06-16,0.8772
2015-06-17,0.0
2015-06-18,5.2174
2015-06-19,-1.5702
2015-06-22,4.1142
2015-06-23,-5.2419
2015-06-24,-3.8298
2015-06-25,-1.7699
2015-06-26,0.6306
2015-06-29,-4.6553
2015-06-30,-0.8216
2015-07-01,0.2604
2015-07-02,3.7771
2015-07-06,1.8197999999999999
2015-07-07,-4.2895
2015-07-08,3.3613
2015-07-09,1.2647
2015-07-10,0.5352
2015-07-13,1.1535
2015-07-14,4.0351
2015-07-15,2.4452
2015-07-16,3.2099
2015-07-17,-3.1898
2015-07-20,-0.4119
2015-07-21,4.1356
2015-07-22,-0.8737
2015-07-23,-0.5609
2015-07-24,2.3368
