ticker,OXFD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-22,28.3333
2013-11-25,3.1169000000000002
2013-11-26,0.063
2013-11-27,-2.7061
2013-11-29,2.6455
2013-12-02,-0.7499
2013-12-03,-2.4762
2013-12-04,0.5859
2013-12-05,16.699
2013-12-06,-2.1076
2013-12-09,2.5496
2013-12-10,0.5525
2013-12-11,3.7912
2013-12-12,-5.0291
2013-12-13,-1.3378
2013-12-16,-1.4689
2013-12-17,5.1606
2013-12-18,8.506
2013-12-19,-6.5829
2013-12-20,5.5944
2013-12-23,-1.2736
2013-12-24,-0.7224
2013-12-26,-1.1435
2013-12-27,-3.4699999999999998
2013-12-30,3.4314
2013-12-31,2.0537
2014-01-02,-2.3736
2014-01-03,3.0655
2014-01-06,-2.7692
2014-01-07,-4.0084
2014-01-08,0.0
2014-01-09,2.9121
2014-01-10,0.8542
2014-01-13,-1.9586999999999999
2014-01-14,4.3737
2014-01-15,0.0517
2014-01-16,3.6711
2014-01-17,-2.3441
2014-01-21,7.2523
2014-01-22,3.7143
2014-01-23,-1.1478
2014-01-24,-2.183
2014-01-27,-1.0446
2014-01-28,1.5354999999999999
2014-01-29,-4.5369
2014-01-30,1.8812
2014-01-31,2.9154999999999998
2014-02-03,-2.644
2014-02-04,6.0136
2014-02-05,-0.8234
2014-02-06,2.0756
2014-02-07,1.4912
2014-02-10,2.7605
2014-02-11,3.9428
2014-02-12,-1.2922
2014-02-13,1.3091
2014-02-14,-2.501
2014-02-18,2.5652
2014-02-19,-1.1672
2014-02-20,1.1809
2014-02-21,-5.2105
2014-02-24,0.3518
2014-02-25,1.0955
2014-02-26,0.13
2014-02-27,1.2987
2014-02-28,-4.9145
2014-03-03,3.3258
2014-03-04,0.0435
2014-03-05,0.3043
2014-03-06,2.9476
2014-03-07,2.8211
2014-03-10,-0.9419
2014-03-11,-0.7854
2014-03-12,1.5
2014-03-13,-0.3695
2014-03-14,-3.1314
2014-03-17,-2.6797
2014-03-18,0.6119
2014-03-19,-2.4761
2014-03-20,-3.5635
2014-03-21,-6.2356
2014-03-24,-2.6108000000000002
2014-03-25,1.4163000000000001
2014-03-26,-1.995
2014-03-27,-4.2748
2014-03-28,5.9011
2014-03-31,0.753
2014-04-01,4.0857
2014-04-02,-0.6223
2014-04-03,-5.0578
2014-04-04,-0.7103
2014-04-07,-1.3286
2014-04-08,-1.2947
2014-04-09,-1.5215
2014-04-10,-1.8647
2014-04-11,-2.6059
2014-04-14,-5.0725
