ticker,PRAH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-13,9.0
2014-11-14,3.0581
2014-11-17,1.5826
2014-11-18,-0.925
2014-11-19,0.1966
2014-11-20,1.3732
2014-11-21,4.1122
2014-11-24,4.5539
2014-11-25,-0.0444
2014-11-26,-2.2232
2014-11-28,-0.6821
2014-12-01,-2.6099
2014-12-02,2.4448
2014-12-03,1.3309
2014-12-04,-1.1775
2014-12-05,1.0999
2014-12-08,-0.6346
2014-12-09,1.0493
2014-12-10,0.0
2014-12-11,1.7156
2014-12-12,0.7989
2014-12-15,1.2328999999999999
2014-12-16,2.8708
2014-12-17,1.8605
2014-12-18,-1.2038
2014-12-19,0.8403
2014-12-22,2.7083
2014-12-23,3.4483
2014-12-24,-1.4902
2014-12-26,-2.9061
2014-12-29,1.3940000000000001
2014-12-30,-3.1136
2014-12-31,1.0851
2015-01-02,-2.8902
2015-01-05,0.9779
2015-01-06,-4.3368
2015-01-07,1.0563
2015-01-08,11.2369
2015-01-09,-0.4699
2015-01-12,-0.3147
2015-01-13,2.2494
2015-01-14,0.5017
2015-01-15,-3.5714
2015-01-16,-0.3584
2015-01-20,-1.8784999999999998
2015-01-21,3.2587
2015-01-22,7.4951
2015-01-23,-4.1468
2015-01-26,0.268
2015-01-27,3.8564
2015-01-28,-3.9337999999999997
2015-01-29,4.1715
2015-01-30,-4.0044
2015-02-02,3.7887
2015-02-03,-0.7006
2015-02-04,1.1511
2015-02-05,1.6886999999999999
2015-02-06,-0.361
2015-02-09,-3.2971
2015-02-10,-0.5995
2015-02-11,1.47
2015-02-12,-0.1486
2015-02-13,1.1533
2015-02-17,1.0298
2015-02-18,1.3469
2015-02-19,0.7184
2015-02-20,0.1427
2015-02-23,2.0299
2015-02-24,2.0244
2015-02-25,6.2949
2015-02-26,1.3518
2015-02-27,0.0953
2015-03-02,-0.0635
2015-03-03,-3.4286
2015-03-04,0.263
2015-03-05,1.1475
2015-03-06,-1.718
2015-03-09,-0.5277
2015-03-10,-0.8952
2015-03-11,-0.0335
2015-03-12,2.0415
2015-03-13,-1.8039
2015-03-16,1.2024
2015-03-17,0.363
2015-03-18,0.0329
2015-03-19,1.5122
2015-03-20,-3.9508
2015-03-23,-0.236
2015-03-24,0.5407
2015-03-25,-1.1429
2015-03-26,-1.8021
2015-03-27,-0.5886
2015-03-30,1.1494
2015-03-31,-0.6887
2015-04-01,0.5201
2015-04-02,-3.001
2015-04-06,3.0939
2015-04-07,-1.1383
2015-04-08,3.8032
