ticker,CBYAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-19,0.0
2004-07-20,11.7647
2004-07-26,5.2632
2004-08-03,-7.0
2004-08-06,11.828
2004-08-12,-4.2308
2004-08-16,-4.6185
2004-08-17,0.0
2004-08-27,1.0526
2004-08-31,4.1667
2004-09-10,0.0
2004-09-15,10.0
2004-09-23,-9.0909
2004-09-24,10.0
2004-09-27,4.5455
2004-09-28,-0.8696
2004-10-01,5.2632
2004-10-04,0.0
2004-10-08,4.1667
2004-10-15,-4.0
2004-10-27,8.3333
2004-10-28,6.1538
2004-10-29,-9.4203
2004-11-15,4.0
2004-11-18,-2.3077
2004-12-21,14.1732
2004-12-23,0.0
2004-12-28,-4.8276
2005-01-03,-5.7971
2005-01-04,0.0
2005-01-05,4.6154
2005-01-06,-4.4118
2005-01-13,6.1538
2005-01-14,0.0
2005-01-19,8.6957
2005-01-20,-3.3333
2005-01-21,-3.4483
2005-01-24,5.0
2005-01-26,0.0
2005-01-27,2.0408
2005-01-31,0.0
2005-02-03,-3.3333
2005-02-08,6.8966
2005-02-10,3.2258
2005-02-11,-0.625
2005-02-15,0.6289
2005-02-16,0.0
2005-02-23,0.0
2005-03-01,-2.5
2005-03-16,-0.641
2005-04-04,3.2258
2005-04-05,0.0
2005-04-06,0.0
2005-04-08,-3.125
2005-04-11,0.0
2005-04-12,0.0
2005-04-13,-3.2258
2005-04-18,3.3333
2005-04-21,0.0
2005-05-02,0.0
2005-05-04,-3.2258
2005-05-06,0.0
2005-05-13,6.6667
2005-05-16,0.0
2005-05-17,-3.125
2005-06-01,3.2258
2005-06-02,0.0
2005-06-09,0.0
2005-06-27,-3.125
2005-06-28,3.2258
2005-06-30,-3.125
2005-07-01,0.0
2005-07-08,3.2258
2005-07-11,-3.125
2005-07-13,0.0
2005-07-14,-3.2258
2005-07-15,3.3333
2005-07-18,0.0
2005-07-22,-3.2258
2005-07-25,3.3333
2005-08-02,-3.2258
2005-08-17,3.3333
2005-08-18,-3.2258
2005-08-22,-2.6667
2005-08-23,-4.1096
2005-08-25,0.0
2005-09-07,0.0
2005-09-14,0.0
2005-09-15,-3.5714
2005-09-16,3.7037
2005-09-19,3.5714
2005-09-20,0.0
2005-09-23,0.0
2005-09-27,0.0
2005-09-28,-3.4483
2005-09-29,5.7143
2005-10-04,-2.027
2005-10-07,0.0
2005-10-14,-3.4483
2005-10-17,5.0
2005-10-18,-4.7619
2005-10-24,3.5714
2005-10-26,1.3793
2005-10-27,5.4422
