ticker,TNXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-08,0.4878
2012-02-15,-2.9126
2012-03-05,0.0
2012-03-26,0.0
2012-04-12,0.0
2012-04-24,-40.0
2012-04-26,0.0
2012-04-30,33.3333
2012-05-01,-3.125
2012-05-07,-3.2258
2012-05-16,-12.0
2012-05-17,-23.4848
2012-05-23,-0.9901
2012-05-24,0.0
2012-05-25,-5.0
2012-06-01,-11.5789
2012-06-06,1.1905000000000001
2012-06-07,17.647100000000002
2012-06-08,-5.0
2012-06-11,5.2632
2012-06-12,0.0
2012-06-15,-5.0
2012-06-20,-12.6316
2012-06-25,22.8916
2012-06-26,-1.9607999999999999
2012-06-28,0.0
2012-06-29,0.0
2012-07-02,-1.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-09,1.0101
2012-07-10,-1.5
2012-07-11,0.0
2012-07-13,-0.5076
2012-07-16,0.0
2012-07-17,-2.0408
2012-07-18,-6.25
2012-07-19,0.0
2012-07-23,-5.5556
2012-07-24,10.5882
2012-07-25,-4.2553
2012-07-26,1.1111
2012-08-10,-6.5934
2012-08-13,0.0
2012-08-14,4.7059
2012-08-16,0.0
2012-08-17,0.0
2012-08-20,0.0
2012-08-23,-4.4944
2012-08-28,-5.8824
2012-08-30,0.0
2012-09-07,-1.25
2012-09-13,-5.0633
2012-09-14,-1.3333
2012-10-03,-5.4054
2012-10-08,0.0
2012-10-09,0.0
2012-10-17,0.0
2012-10-24,0.0
2012-10-25,14.2857
2012-10-26,-18.75
2012-10-31,4.6154
2012-11-01,0.0
2012-11-05,2.9412000000000003
2012-11-08,0.0
2012-11-09,0.0
2012-11-12,-14.2857
2012-11-13,-15.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-16,7.8431
2012-11-19,0.0
2012-11-20,0.0
2012-11-21,-9.0909
2012-11-26,0.0
2012-11-27,10.0
2012-11-30,9.0909
2012-12-05,-16.6667
2012-12-11,0.0
2012-12-17,-8.0
2012-12-19,0.0
2012-12-31,19.5652
2013-01-07,-20.0
2013-01-08,25.0
2013-01-09,9.0909
2013-01-10,8.3333
2013-01-11,-7.6923
2013-01-14,8.3333
2013-01-15,-15.3846
2013-01-17,0.0
2013-01-18,0.0
2013-01-23,-9.0909
2013-01-24,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-02-04,38.0
2013-02-07,-49.2754
2013-02-08,77.1429
2013-02-11,-11.2903
2013-02-12,-27.2727
2013-02-13,0.0
2013-02-14,0.0
