ticker,AREC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-30,0.0
2015-12-01,-20.0
2016-08-12,0.0
2017-02-21,25.0
2017-03-03,20.0
2017-03-06,-50.0
2017-03-23,-26.6667
2017-04-20,-50.0
2017-04-25,81.8182
2017-05-12,0.0
2017-05-17,-50.0625
2017-05-23,-39.9249
2017-06-29,-44.4444
2017-07-05,-25.0
2017-07-10,-32.0
2017-07-12,-9.8039
2017-07-27,-78.2609
2017-08-03,0.0
2017-08-17,-50.0
2018-03-01,2100.0
2018-03-02,63.6364
2018-03-05,8.3333
2018-03-06,53.8462
2018-03-07,-63.3333
2018-03-08,9.0909
2018-03-09,0.0
2018-03-12,66.6667
2018-03-13,-12.5
2018-03-19,-42.8571
2018-03-20,20.0
2018-03-21,25.0
2018-03-22,-30.6667
2018-03-23,-2.8846
2018-03-26,20.7921
2018-03-29,12.2951
2018-04-02,-19.7153
2018-04-03,5.1005
2018-04-11,-13.4948
2018-04-13,0.01
2018-04-17,24.9875
2018-04-18,-18.08
2018-04-19,4.9805
2018-04-20,-4.186
2018-04-23,0.0
2018-04-24,16.5049
2018-04-25,4.1667
2018-05-01,0.0
2018-05-07,1.2
2018-05-09,-1.1858
2018-05-10,0.0
2018-05-24,-16.0
2018-06-18,38.0952
2018-06-19,1.5171999999999999
2018-06-20,-8.288
2018-06-22,-1.9259
2018-06-25,-9.3656
2018-06-26,0.0
2018-06-28,-1.6667
2018-06-29,-2.5423999999999998
2018-07-02,-3.9130000000000003
2018-07-11,-0.4525
2018-07-17,9.0909
2018-07-18,-8.3333
2018-07-19,0.0
2018-07-20,2.7273
2018-08-01,15.0442
2018-08-02,0.0
2018-08-07,-11.538499999999999
2018-08-13,86.087
2018-08-14,-32.243
2018-08-16,-11.0345
2018-08-17,55.0388
2018-08-20,25.0
2018-08-21,0.0
2018-08-27,-40.0
2018-08-30,-10.6667
2018-09-10,-25.3731
2018-09-14,45.0
2018-09-17,106.8966
2018-09-18,100.0
2018-09-20,-25.0
2018-09-21,11.1111
2018-09-24,10.0
2018-09-25,9.0909
2018-09-26,15.0
2018-09-27,2.1739
2018-09-28,-0.8511
2018-10-01,7.2961
2018-10-02,3.3333
2018-10-03,-3.2258
2018-10-04,-22.0
2018-10-05,23.9316
2018-10-08,-17.2414
2018-10-09,9.1667
2018-10-12,12.9771
2018-10-15,0.0
2018-10-16,8.1081
2018-10-23,3.125
2018-10-24,9.0909
2018-10-30,0.0
2018-11-01,11.1111
2018-11-02,20.0
