ticker,FBIZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-10,-3.8462
2005-10-11,0.0
2005-10-12,0.0
2005-10-13,15.72
2005-10-14,-4.943
2005-10-17,0.0
2005-10-18,8.1091
2005-10-20,-9.1826
2005-10-21,-3.7037
2005-10-24,-2.5769
2005-10-25,2.5266
2005-10-26,-2.4644
2005-10-27,-1.3028
2005-10-28,0.0
2005-10-31,0.0
2005-11-01,-0.04
2005-11-04,-2.3609
2005-11-07,-1.8852
2005-11-08,0.2506
2005-11-09,4.1667
2005-11-11,-1.44
2005-11-14,-2.5974
2005-11-17,-1.0417
2005-11-22,1.0526
2005-11-23,0.0
2005-12-01,-1.0417
2005-12-05,0.0
2005-12-06,0.4211
2005-12-09,0.6289
2005-12-12,0.4167
2005-12-13,-0.2075
2005-12-14,0.0416
2005-12-15,-0.2494
2005-12-16,-0.8333
2005-12-20,0.0
2005-12-22,0.0
2005-12-28,0.3361
2005-12-29,-0.084
2005-12-30,-0.4089
2006-01-03,-0.8551
2006-01-05,2.1277
2006-01-06,-0.8333
2006-01-19,-0.2101
2006-01-25,-1.0526
2006-01-26,-0.5106
2006-01-30,-0.5133
2006-01-31,-0.9888
2006-02-02,-0.1303
2006-02-07,-2.0
2006-02-08,0.0444
2006-02-09,-0.0443
2006-02-13,-0.1775
2006-02-14,-0.9778
2006-02-15,0.1346
2006-02-16,-0.2689
2006-02-17,1.0787
2006-02-23,-1.2894999999999999
2006-02-24,0.0
2006-03-01,0.0
2006-03-02,0.0
2006-03-06,0.0
2006-03-14,-0.4505
2006-03-15,0.0
2006-03-16,-0.4525
2006-03-17,0.0
2006-03-20,0.0
2006-03-22,2.2273
2006-03-23,3.2014
2006-03-24,0.1723
2006-03-28,1.0753
2006-03-29,1.3191
2006-03-30,-0.0421
2006-04-03,-1.011
2006-04-04,-0.2128
2006-04-10,0.2132
2006-04-12,0.4255
2006-04-13,0.6356
2006-04-18,-1.0526
2006-04-20,0.0
2006-04-27,0.6388
2006-04-28,-0.2119
2006-05-02,-0.4237
2006-05-04,0.383
2006-05-05,1.738
2006-05-08,0.4167
2006-05-10,2.7801
2006-05-11,-0.1211
2006-05-12,-0.9701
2006-05-15,0.0
2006-05-17,0.0
2006-05-18,-4.7755
2006-05-19,2.8289999999999997
2006-05-22,0.7503
2006-05-23,-0.7034
2006-05-25,-1.875
2006-05-30,-0.2123
2006-05-31,0.0
2006-06-01,0.0
2006-06-02,0.0
2006-06-05,0.0
2006-06-06,0.0043
