ticker,JADA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-24,0.0
2007-10-26,2.0
2007-11-05,145.098
2007-11-13,-79.6
2007-11-27,105.8824
2007-11-28,-71.4286
2007-12-12,240.0
2007-12-17,27.451
2007-12-28,92.3077
2008-01-02,-40.0
2008-01-03,100.0
2008-01-04,15.0
2008-01-07,-4.3478
2008-01-08,-3.6364
2008-01-09,-0.9434
2008-01-11,23.8095
2008-01-14,-15.3846
2008-01-15,-8.1818
2008-01-16,0.0
2008-01-18,48.5149
2008-01-23,0.0
2008-01-24,6.6667
2008-01-25,3.75
2008-01-28,0.0
2008-01-30,-3.6145
2008-02-04,1.875
2008-02-19,4.2945
2008-02-20,2.9412000000000003
2008-02-21,-0.5714
2008-02-22,-2.2989
2008-02-25,0.0
2008-02-26,12.3529
2008-02-27,7.3298
2008-02-28,3.4146
2008-02-29,-0.9434
2008-03-03,10.0
2008-03-04,12.1212
2008-03-05,-3.4749
2008-03-06,-2.0
2008-03-07,-3.6734999999999998
2008-03-10,-18.2203
2008-03-11,-22.2798
2008-03-12,-3.3333
2008-03-13,10.3448
2008-03-14,-15.625
2008-03-17,-17.037
2008-03-18,-15.1786
2008-03-19,-11.5789
2008-03-20,7.1429
2008-03-24,0.0
2008-03-25,17.7778
2008-03-26,10.3774
2008-03-27,-12.8205
2008-03-28,0.0
2008-03-31,22.549
2008-04-01,10.4
2008-04-02,2.1739
2008-04-03,-11.3475
2008-04-04,0.0
2008-04-07,-8.0
2008-04-08,-0.8696
2008-04-09,0.0
2008-04-10,0.0
2008-04-11,0.0
2008-04-14,0.0
2008-04-15,0.8772
2008-04-16,6.087
2008-04-17,-1.6393
2008-04-18,-3.3333
2008-04-21,4.3103
2008-04-22,-4.9587
2008-04-23,1.7391
2008-04-24,-1.7094
2008-04-25,0.0
2008-04-28,1.7391
2008-04-29,-5.9829
2008-04-30,8.1818
2008-05-01,4.2017
2008-05-02,-5.6452
2008-05-05,0.8547
2008-05-06,-2.5423999999999998
2008-05-07,0.0
2008-05-08,0.0
2008-05-09,0.0
2008-05-12,0.8696
2008-05-13,-5.1724
2008-05-14,10.0
2008-05-15,10.4683
2008-05-19,24.6883
2008-05-20,-19.8
2008-05-21,24.6883
2008-05-22,2.0
2008-05-23,2.9412000000000003
2008-05-27,-7.619
2008-05-28,-10.3093
2008-05-30,-4.5977
2008-06-02,1.2048
2008-06-03,-4.7619
2008-06-04,7.0
2008-06-09,-6.5421
2008-06-11,0.0
2008-06-12,0.0
