ticker,CWGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-22,-0.5714
2013-02-25,-16.5517
2013-02-26,10.1928
2013-02-27,6.875
2013-02-28,-5.848
2013-03-01,-0.4969
2013-03-04,-1.8727
2013-03-05,-3.0534
2013-03-06,4.8556
2013-03-07,4.5056
2013-03-08,10.1796
2013-03-11,5.9783
2013-03-12,7.6923
2013-03-13,-3.3333
2013-03-14,-6.4039
2013-03-15,-1.5789
2013-03-18,0.0
2013-03-19,-0.5348
2013-03-20,1.2903
2013-03-21,-3.3970000000000002
2013-03-22,1.3187
2013-03-25,1.0846
2013-03-26,-0.2146
2013-03-27,-0.2151
2013-03-28,0.2155
2013-04-01,0.9677
2013-04-02,2.9819
2013-04-03,-0.7239
2013-04-04,0.4167
2013-04-05,-0.2075
2013-04-08,-3.3264
2013-04-09,-0.5376
2013-04-10,1.0811
2013-04-11,-0.9626
2013-04-12,-2.2678
2013-04-15,0.442
2013-04-16,-1.2101
2013-04-17,-0.3341
2013-04-18,-0.3352
2013-04-19,-0.5605
2013-04-22,1.4656
2013-04-23,1.2222
2013-04-24,-0.6586
2013-04-25,0.7735
2013-04-26,0.8772
2013-04-29,-0.5435
2013-04-30,-1.5301
2013-05-01,-0.6659
2013-05-02,0.0
2013-05-03,-0.2235
2013-05-06,0.224
2013-05-07,-1.1173
2013-05-08,1.5819
2013-05-09,-1.0011
2013-05-10,1.0112
2013-05-13,0.1112
2013-05-14,1.6667
2013-05-15,-2.8415
2013-05-16,-1.5748
2013-05-17,1.1429
2013-05-20,-1.6949
2013-05-21,0.1149
2013-05-22,-1.2629000000000001
2013-05-23,0.0
2013-05-24,-0.6977
2013-05-28,0.1171
2013-05-29,1.1696
2013-05-30,0.0
2013-05-31,1.3873
2013-06-03,1.4823
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,-1.1236
2013-06-07,1.1364
2013-06-10,-1.3483
2013-06-11,-0.1139
2013-06-12,0.3421
2013-06-13,-0.5682
2013-06-14,0.0
2013-06-17,0.0
2013-06-18,-0.4571
2013-06-19,0.4592
2013-06-20,-1.2570999999999999
2013-06-21,0.9259
2013-06-24,-0.2294
2013-06-25,-0.4598
2013-06-26,-1.8476
2013-06-27,-0.5882
2013-06-28,0.7692
2013-07-01,-0.1762
2013-07-02,-1.4118
2013-07-03,-0.9547
2013-07-05,0.6024
2013-07-08,1.1976
2013-07-09,0.0
2013-07-10,-1.1834
2013-07-11,0.8383
2013-07-12,2.3753
2013-07-15,0.348
