ticker,MMMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-23,0.0
2013-05-30,0.0
2013-06-05,0.0
2013-06-07,-25.0
2013-06-10,0.0
2013-06-21,33.3333
2013-06-24,0.0
2013-07-02,0.0
2013-07-12,0.0
2013-07-16,0.0
2013-07-18,0.0
2013-07-24,0.0
2013-08-05,0.0
2013-08-13,0.0
2013-08-16,0.0
2013-09-10,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-11,-12.5
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-21,0.0
2013-10-24,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-11-06,0.0
2013-11-08,0.0
2013-11-12,14.2857
2013-11-13,0.0
2013-11-15,0.0
2013-11-21,0.0
2013-12-05,0.0
2013-12-11,25.0
2013-12-17,0.0
2014-01-03,0.4
2014-01-06,59.3625
2014-01-10,0.0
2014-01-13,0.0
2014-01-16,0.0
2014-01-30,-25.0
2014-02-04,0.0
2014-02-06,0.0
2014-02-12,0.0
2014-02-20,0.0
2014-03-10,-58.3333
2014-03-14,132.0
2014-03-17,0.0
2014-03-18,-39.3103
2014-03-20,70.4545
2014-04-04,0.0
2014-04-07,-20.3333
2014-04-08,4.6025
2014-04-11,12.0
2014-04-14,7.1429
2014-04-16,-10.0
2014-04-17,0.0
2014-04-21,9.2593
2014-04-24,1.6949
2014-04-25,-0.6667
2014-04-28,-1.0067
2014-04-29,0.0
2014-04-30,0.339
2014-05-01,0.3378
2014-05-05,0.0
2014-05-06,-0.3367
2014-05-07,1.3514
2014-05-08,0.0
2014-05-09,-1.6667
2014-05-12,0.678
2014-05-13,1.0101
2014-05-14,66.6667
2014-05-15,-24.0
2014-05-16,-5.2632
2014-05-19,-5.5556
2014-05-20,2.9412000000000003
2014-05-21,0.0
2014-05-22,-2.8571
2014-05-23,-5.5882
2014-05-27,-3.4268
2014-05-28,12.9032
2014-05-29,-0.2857
2014-05-30,-4.0115
2014-06-02,2.9851
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,-7.2464
2014-06-06,-0.3125
2014-06-09,0.3135
2014-06-10,-1.5625
2014-06-11,0.6349
2014-06-12,-2.2082
2014-06-13,-11.2903
2014-06-16,9.0909
2014-06-17,0.0
2014-06-18,-10.0
2014-06-19,3.7037
2014-06-20,-3.2143
2014-06-23,-2.214
2014-06-24,-7.5472
2014-06-25,-2.0408
2014-06-26,4.1667
2014-06-27,-6.8
2014-06-30,3.0043
2014-07-01,3.75
