ticker,MCHN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-22,0.0
2019-04-04,-25.0
2019-04-05,0.0
2019-04-12,-33.3333
2019-04-15,50.0
2019-04-16,-33.3333
2019-04-22,0.0
2019-04-26,0.0
2019-05-10,0.0
2019-05-13,0.0
2019-05-20,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-28,10.0
2019-06-13,9.0909
2019-07-16,-15.8333
2019-07-29,-0.8911
2019-08-12,-5.0949
2019-08-13,-5.1579
2019-08-21,10.9878
2019-08-23,0.0
2019-09-06,0.0
2019-09-18,0.0
2019-10-24,-10.0
2019-10-31,22.1111
2019-11-01,-18.1074
2020-01-23,22.2222
2020-02-05,-27.2727
2020-02-20,37.5
2020-02-28,-18.1818
2020-03-13,-5.5556
2020-03-16,-5.8824
2020-03-17,0.0
2020-03-23,12.5
2020-07-13,-5.5556
2020-07-27,0.0
