ticker,WOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-25,-2.9412000000000003
2017-05-26,6.3636
2017-05-30,1.2536
2017-05-31,3.3765
2017-06-01,-1.5787
2017-06-02,-0.4425
2017-06-05,-1.3889
2017-06-06,-3.3803
2017-06-07,-2.3907
2017-06-08,2.1505
2017-06-09,-1.1111
2017-06-12,0.2957
2017-06-13,1.0024
2017-06-14,0.0584
2017-06-15,-0.1167
2017-06-16,2.7453
2017-06-19,1.3644
2017-06-20,-2.7481999999999998
2017-06-21,-0.7497
2017-06-22,-0.3486
2017-06-23,1.5743
2017-06-26,-0.3444
2017-06-27,0.7488
2017-06-28,-0.5146
2017-06-29,-1.4368
2017-06-30,1.4577
2017-07-03,0.1149
2017-07-05,0.1722
2017-07-06,-0.3438
2017-07-07,-0.115
2017-07-10,-0.4606
2017-07-11,-1.1567
2017-07-12,-0.7607
2017-07-13,0.2358
2017-07-14,-1.1764999999999999
2017-07-17,-0.4762
2017-07-18,-2.1531000000000002
2017-07-19,1.8949
2017-07-20,-1.3197
2017-07-21,0.3647
2017-07-24,-0.1211
2017-07-25,-1.3948
2017-07-26,-0.4305
2017-07-27,2.1618
2017-07-28,2.7811
2017-07-31,0.5882
2017-08-01,-0.117
2017-08-02,-0.3513
2017-08-03,-0.0588
2017-08-04,-2.2928
2017-08-07,0.3008
2017-08-08,-0.7199
2017-08-09,0.6042
2017-08-10,-0.8408
2017-08-11,-0.3634
2017-08-14,-0.3647
2017-08-15,-0.4881
2017-08-16,-0.8584
2017-08-17,-4.1435
2017-08-18,0.0
2017-08-21,-0.0645
2017-08-22,1.162
2017-08-23,2.425
2017-08-24,-1.4953
2017-08-25,0.6958
2017-08-28,-2.1357
2017-08-29,0.5135
2017-08-30,2.1711
2017-08-31,0.25
2017-09-01,-0.3117
2017-09-05,0.5629
2017-09-06,2.4254
2017-09-07,-3.0965
2017-09-08,0.5639
2017-09-11,1.3084
2017-09-12,0.7995
2017-09-13,-0.061
2017-09-14,0.0611
2017-09-15,-4.0879
2017-09-18,-2.2901
2017-09-19,-0.651
2017-09-20,-0.5898
2017-09-21,0.5274
2017-09-22,-0.6557
2017-09-25,-0.7921
2017-09-26,1.7964
2017-09-27,1.1764999999999999
2017-09-28,-2.261
2017-09-29,-0.3305
2017-10-02,2.321
2017-10-03,-1.6202
2017-10-04,-0.1318
2017-10-05,0.1319
2017-10-06,-0.1318
2017-10-09,-0.2639
2017-10-10,0.2646
2017-10-11,-1.847
