ticker,ARTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-02,1.3333
2008-06-03,0.0
2008-06-05,-10.526299999999999
2008-06-06,-23.5294
2008-06-09,-1.9231
2008-06-10,-60.7843
2008-06-11,240.0
2008-06-12,-19.1176
2008-06-13,18.1818
2008-06-16,10.7692
2008-06-17,-6.9444
2008-06-18,-40.2985
2008-06-19,-50.0
2008-06-20,100.0
2008-06-23,1.25
2008-06-24,-1.2346
2008-06-26,-35.0
2008-06-27,73.0769
2008-06-30,-6.6667
2008-07-01,7.1429
2008-07-02,-51.1111
2008-07-03,31.8182
2008-07-07,0.0
2008-07-08,34.4828
2008-07-09,-30.7692
2008-07-10,-22.2222
2008-07-11,-9.5238
2008-07-14,47.3684
2008-07-16,50.0
2008-07-17,-8.3333
2008-07-21,-32.4675
2008-07-22,44.2308
2008-07-23,4.0
2008-07-24,-12.8205
2008-07-28,0.0
2008-07-29,0.0
2008-07-30,0.0
2008-08-06,0.0
2008-08-07,-14.7059
2008-08-19,37.931
2008-09-12,-35.0
2008-09-19,-26.9231
2008-09-26,-36.8421
2008-09-29,0.0
2008-10-01,0.0
2008-10-03,0.0
2008-10-06,0.0
2008-10-14,0.0
2008-10-27,225.0
2008-10-29,-30.7692
2008-10-30,-7.4074
2008-11-03,8.0
2008-11-04,7.4074
2008-11-06,-17.2414
2008-11-07,8.3333
2008-11-12,0.0
2008-11-13,-3.8462
2008-11-14,-12.0
2008-11-17,-4.5455
2008-11-18,4.7619
2008-11-19,-18.1818
2008-11-20,-11.1111
2008-11-21,-37.5
2008-11-24,70.0
2008-11-25,0.0
2008-11-26,11.7647
2008-12-01,-57.8947
2008-12-02,-12.5
2008-12-03,-7.1429
2008-12-04,-23.0769
2008-12-05,-60.0
2008-12-08,20.0
2008-12-09,-54.1667
2008-12-10,54.5455
2008-12-11,29.4118
2008-12-12,-31.8182
2008-12-15,-22.5
2008-12-16,37.6344
2008-12-17,-18.75
2008-12-18,-23.0769
2008-12-19,40.0
2008-12-22,7.1429
2008-12-23,-5.8333
2008-12-24,13.2743
2008-12-26,15.625
2008-12-29,29.7297
2008-12-30,-25.0
2008-12-31,-11.1111
2009-01-02,12.5
2009-01-05,-16.6667
2009-01-06,5.8333
2009-01-07,-5.5118
2009-01-08,13.3333
2009-01-09,11.0294
2009-01-12,-9.9338
2009-01-13,5.8824
2009-01-14,-16.6667
2009-01-15,-13.3333
2009-01-16,-22.1154
2009-01-20,8.642
2009-01-22,-9.0909
