ticker,SIBN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-17,33.7333
2018-10-18,4.6859
2018-10-19,-3.0952
2018-10-22,-0.7371
2018-10-23,-3.4653
2018-10-24,-4.9231
2018-10-25,-0.9709
2018-10-26,1.1983
2018-10-29,-0.3767
2018-10-30,1.1345
2018-10-31,0.1603
2018-11-01,0.5333
2018-11-02,-2.7056
2018-11-05,-1.6358000000000001
2018-11-06,2.439
2018-11-07,0.5952
2018-11-08,-0.269
2018-11-09,-0.7551
2018-11-12,-0.3261
2018-11-13,-0.9269
2018-11-14,-1.9813
2018-11-15,-1.3476
2018-11-16,0.6261
2018-11-19,-5.0339
2018-11-20,0.6552
2018-11-21,7.3373
2018-11-23,-0.2205
2018-11-26,1.7127
2018-11-27,0.8148
2018-11-28,-0.2155
2018-11-29,-0.27
2018-11-30,-2.7612
2018-12-03,13.8085
2018-12-04,-5.0881
2018-12-06,-10.1031
2018-12-07,16.3417
2018-12-10,-1.5278
2018-12-11,-5.6056
2018-12-12,-0.5832
2018-12-13,6.5600000000000005
2018-12-14,0.951
2018-12-17,-0.8428
2018-12-18,1.25
2018-12-19,1.4815
2018-12-20,-8.9538
2018-12-21,-1.6034000000000002
2018-12-24,-0.4889
2018-12-26,5.6223
2018-12-27,0.5685
2018-12-28,5.1387
2018-12-31,2.1017
2019-01-02,-0.1915
2019-01-03,-9.8321
2019-01-04,5.9574
2019-01-07,0.3514
2019-01-08,0.7004
2019-01-09,4.7193000000000005
2019-01-10,2.4194
2019-01-11,-0.9727
2019-01-14,-0.0935
2019-01-15,2.9962999999999997
2019-01-16,0.5
2019-01-17,1.0855
2019-01-18,-7.0694
2019-01-22,-3.7554
2019-01-23,-1.2506
2019-01-24,-1.0638
2019-01-25,0.2048
2019-01-28,-2.0439
2019-01-29,-5.2686
2019-01-30,-4.7907
2019-01-31,3.9907
2019-02-01,2.614
2019-02-04,5.0407
2019-02-05,-4.0764
2019-02-06,-0.8069
2019-02-07,-4.6638
2019-02-08,-0.1706
2019-02-11,-0.8547
2019-02-12,0.8621
2019-02-13,0.2849
2019-02-14,2.9545
2019-02-15,-0.6623
2019-02-19,5.1111
2019-02-20,1.1628
2019-02-21,-0.418
2019-02-22,7.4502
2019-02-25,1.1719
2019-02-26,-0.3861
2019-02-27,0.1938
2019-02-28,0.1934
2019-03-01,0.5792
2019-03-04,-2.4472
2019-03-05,-1.6232
2019-03-06,-1.5
2019-03-07,-2.6395999999999997
2019-03-08,-1.9811999999999999
