ticker,HRZN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-29,-2.5625
2010-11-01,-4.1052
2010-11-02,-1.5385
2010-11-03,3.9402
2010-11-04,-1.8954
2010-11-05,-1.066
2010-11-08,-2.6936
2010-11-09,-3.1142
2010-11-10,-1.2143
2010-11-11,3.3261
2010-11-12,1.4696
2010-11-15,-2.9655
2010-11-16,1.2082
2010-11-17,1.1236
2010-11-18,0.5556
2010-11-19,0.4834
2010-11-22,1.4433
2010-11-23,0.271
2010-11-24,1.4189
2010-11-26,-1.3324
2010-11-29,-0.0675
2010-11-30,0.4054
2010-12-01,-0.8748
2010-12-02,-0.5431
2010-12-03,-1.9795
2010-12-06,0.2786
2010-12-07,-0.4861
2010-12-08,2.7913
2010-12-09,0.4752
2010-12-10,2.2973
2010-12-13,0.1982
2010-12-14,0.2637
2010-12-15,-0.9204
2010-12-16,0.929
2010-12-17,-1.1834
2010-12-20,1.3972
2010-12-21,0.7218
2010-12-22,-1.3029
2010-12-23,0.7261
2010-12-27,-0.5984
2010-12-28,-1.3378
2010-12-29,-1.0847
2010-12-30,0.0685
2010-12-31,-1.0959
2011-01-03,3.1856
2011-01-04,2.8859
2011-01-05,2.0222
2011-01-06,0.4476
2011-01-07,-1.3367
2011-01-10,0.6452
2011-01-11,-0.0641
2011-01-12,0.0
2011-01-13,0.9622
2011-01-14,0.0635
2011-01-18,-0.0635
2011-01-19,-2.6048
2011-01-20,-1.5003
2011-01-21,2.4503
2011-01-24,-0.0646
2011-01-25,0.1294
2011-01-26,0.969
2011-01-27,2.0473
2011-01-28,-0.3762
2011-01-31,-1.0069
2011-02-01,0.445
2011-02-02,0.7595
2011-02-03,0.5025
2011-02-04,-0.1875
2011-02-07,0.0
2011-02-08,0.1879
2011-02-09,-0.625
2011-02-10,0.0629
2011-02-11,0.2577
2011-02-14,0.4326
2011-02-15,-0.1873
2011-02-16,-0.2502
2011-02-17,0.3135
2011-02-18,-0.325
2011-02-22,-1.5551
2011-02-23,0.1274
2011-02-24,-0.2513
2011-02-25,0.8259
2011-02-28,1.1385
2011-03-01,-1.2508
2011-03-02,0.8866
2011-03-03,0.5022
2011-03-04,-0.4997
2011-03-07,-0.3139
2011-03-08,0.2519
2011-03-09,0.4397
2011-03-10,0.7505
2011-03-11,-0.3724
2011-03-14,-0.9346
2011-03-15,1.2579
2011-03-16,-1.5528
2011-03-17,0.3155
2011-03-18,2.2013
2011-03-21,-0.1231
2011-03-22,-0.9858
2011-03-23,-1.7424
