ticker,ORTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-31,0.0
2018-11-01,-0.7857
2018-11-02,0.7919
2018-11-05,0.6429
2018-11-06,3.2647
2018-11-07,0.3436
2018-11-08,-0.8219
2018-11-09,0.8287
2018-11-12,-0.6849
2018-11-13,0.3448
2018-11-14,7.9725
2018-11-15,7.1929
2018-11-16,11.0451
2018-11-19,-14.4385
2018-11-20,4.0625
2018-11-21,-3.6637
2018-11-23,4.4888
2018-11-26,1.1337
2018-11-27,-3.2448
2018-11-28,-4.6341
2018-11-29,-3.133
2018-11-30,-0.5941
2018-12-03,1.1952
2018-12-04,-2.8871
2018-12-06,7.973
2018-12-07,-5.5695
2018-12-10,3.1146
2018-12-11,0.0
2018-12-12,-1.928
2018-12-13,-1.7038
2018-12-14,-2.9333
2018-12-17,-1.7856999999999998
2018-12-18,-0.6993
2018-12-19,-5.9859
2018-12-20,-7.1161
2018-12-21,6.4516
2018-12-24,-1.5152
2018-12-26,2.3077
2018-12-27,-5.9398
2018-12-28,4.1567
2018-12-31,20.7214
2019-01-02,-4.768
2019-01-03,-3.2256
2019-01-04,3.4711
2019-01-07,-1.6667
2019-01-08,9.4237
2019-01-09,-7.6828
2019-01-10,-1.3423
2019-01-11,-3.1293
2019-01-14,-9.7612
2019-01-15,1.1673
2019-01-16,-3.5769
2019-01-17,2.1141
2019-01-18,4.0625
2019-01-22,-3.1532
2019-01-23,-5.0388
2019-01-24,7.7551
2019-01-25,-8.7121
2019-01-28,4.4813
2019-01-29,-4.6068
2019-01-30,2.3314
2019-01-31,3.1733000000000002
2019-02-01,1.4196
2019-02-04,-1.944
2019-02-05,3.0928
2019-02-06,3.5385
2019-02-07,0.5944
2019-02-08,3.3973
2019-02-11,5.0
2019-02-12,-0.3401
2019-02-13,-1.5051
2019-02-14,-0.2044
2019-02-15,5.9028
2019-02-19,8.0
2019-02-20,-3.0358
2019-02-21,-2.2542
2019-02-22,1.0794
2019-02-25,11.0372
2019-02-26,-7.1918
2019-02-27,2.2755
2019-02-28,3.1269
2019-03-01,-1.516
2019-03-04,0.6513
2019-03-05,-0.8235
2019-03-06,-0.6524
2019-03-07,-5.0746
2019-03-08,-4.5912
2019-03-11,0.0
2019-03-12,0.3296
2019-03-13,-1.9710999999999999
2019-03-14,-0.134
2019-03-15,9.0604
2019-03-18,5.8462
2019-03-19,-1.1628
2019-03-20,1.6471
2019-03-21,-1.6204
2019-03-22,-0.8824
2019-03-25,-1.4837
2019-03-26,17.4096
