ticker,TPCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-25,-3.9215999999999998
2014-07-28,-4.4898
2014-07-29,-2.5641
2014-07-30,-4.6053
2014-07-31,-3.3103
2014-08-01,4.6125
2014-08-04,0.5455
2014-08-05,-4.3852
2014-08-06,-1.182
2014-08-07,0.2392
2014-08-08,0.2387
2014-08-11,-2.2857
2014-08-12,-4.7271
2014-08-13,-0.2558
2014-08-14,0.7179
2014-08-15,-0.6619
2014-08-18,-0.7176
2014-08-19,2.065
2014-08-20,-1.1128
2014-08-21,1.3811
2014-08-22,-0.7064
2014-08-25,0.0
2014-08-26,-0.5589
2014-08-27,-1.6352
2014-08-28,-0.4156
2014-08-29,0.1565
2014-09-02,-1.4583
2014-09-03,-2.0613
2014-09-04,2.4285
2014-09-05,2.2129
2014-09-08,5.6701
2014-09-09,4.9756
2014-09-10,2.184
2014-09-11,0.0455
2014-09-12,0.0909
2014-09-15,-0.772
2014-09-16,-3.5698
2014-09-17,-4.0816
2014-09-18,-1.9297
2014-09-19,4.6418
2014-09-22,-0.4822
2014-09-23,-0.5814
2014-09-24,2.4366
2014-09-25,-1.1893
2014-09-26,-0.9148
2014-09-29,-2.4295
2014-09-30,0.498
2014-10-01,-1.0902
2014-10-02,-0.1002
2014-10-03,-0.1505
2014-10-06,0.2511
2014-10-07,-1.3527
2014-10-08,-1.6252
2014-10-09,-3.2008
2014-10-10,-4.1067
2014-10-13,-1.3348
2014-10-14,0.5637
2014-10-15,-0.1121
2014-10-16,-0.6734
2014-10-17,2.5989
2014-10-20,0.3304
2014-10-21,4.775
2014-10-22,0.7858
2014-10-23,1.4033
2014-10-24,-0.4613
2014-10-27,-1.8023
2014-10-28,0.4195
2014-10-29,0.3133
2014-10-30,-1.1973
2014-10-31,0.4215
2014-11-03,3.5677
2014-11-04,-1.8744
2014-11-05,-15.3846
2014-11-06,-3.9657999999999998
2014-11-07,1.7154
2014-11-10,2.1237
2014-11-11,3.5474
2014-11-12,6.1429
2014-11-13,-1.7807
2014-11-14,-0.0567
2014-11-17,5.8673
2014-11-18,4.3243
2014-11-19,1.1399
2014-11-20,1.7930000000000001
2014-11-21,2.1641
2014-11-24,0.9852
2014-11-25,0.1951
2014-11-26,0.5842
2014-11-28,2.0813
2014-12-01,1.3276
2014-12-02,0.0
2014-12-03,0.7955
2014-12-04,2.1356
2014-12-05,0.2727
2014-12-08,3.1732
2014-12-09,0.9227
2014-12-10,-0.8272
2014-12-11,2.4144
