ticker,BSPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-24,2.2222
2000-02-01,-10.3261
2000-02-24,4.2424
2000-03-09,-4.0698
2000-03-20,6.6667
2000-03-27,-2.2727
2000-04-11,-3.689
2000-05-02,0.0
2000-05-30,1.8182
2000-06-05,-1.7856999999999998
2000-07-13,1.047
2000-07-19,1.2048
2000-07-20,-1.1905000000000001
2000-08-24,-3.6145
2000-09-13,0.625
2000-10-18,-0.1747
2000-10-24,-2.5
2000-11-01,0.0
2000-11-28,-6.4103
2000-11-29,3.4247
2000-11-30,-1.9868000000000001
2000-12-06,10.8108
2001-01-04,-4.4586
2001-01-09,0.0
2001-02-06,2.5641
2001-04-03,-3.9427
2001-04-06,4.5752
2001-04-11,0.0
2001-04-16,-2.5
2001-05-07,-3.8462
2001-05-09,-2.6667
2001-05-10,12.3288
2001-05-23,-7.3171
2001-07-02,1.798
2001-07-05,2.5974
2001-07-06,0.0
2001-07-24,-4.0506
2001-07-26,4.9868
2001-09-19,-9.525
2001-09-20,0.0
2001-09-26,8.3333
2001-10-25,-9.8403
2001-10-29,11.4286
2001-11-07,1.9231
2002-01-04,-9.022
2002-01-07,0.0
2002-01-22,2.2222
2002-01-24,1.9022000000000001
2002-01-28,1.0667
2002-01-30,-5.2507
2002-02-13,4.4277
2002-02-14,0.8
2002-02-15,0.5291
2002-02-27,0.0
2002-03-26,-1.1105
2002-05-08,2.2727
2002-05-29,-1.3072
2002-06-03,1.9868000000000001
2002-06-05,0.6494
2002-06-24,-10.529
2002-07-12,7.2464
2002-07-16,-1.3514
2002-07-22,0.0
2002-07-23,-4.1096
2002-08-08,5.7143
2002-08-13,0.0
2002-10-07,-4.8913
2002-10-10,-0.7143
2002-10-15,5.6115
2002-12-16,-0.274
2002-12-23,-0.4121
2002-12-27,0.6897
2003-02-07,0.0
2003-03-27,-0.1377
2003-04-07,-2.069
2003-04-21,-5.6338
2003-04-24,-4.4776
2003-05-20,-3.125
2003-05-29,1.6129
2003-06-05,-4.6032
2003-06-24,1.3311
2003-06-25,7.438
2003-06-27,-6.6619
2003-08-21,-2.4225
2003-09-08,-0.3378
2003-10-16,4.1311
2003-12-04,-4.0984
2003-12-05,2.5641
2003-12-08,0.0
2003-12-10,-3.3333
2003-12-11,1.7241
2003-12-15,-0.0342
2003-12-29,0.8547
2003-12-31,-4.2373
2004-01-05,3.7168
2004-01-22,2.3891
2004-01-30,0.0
2004-02-05,6.6667
2004-02-17,-6.25
2004-02-27,0.0
