ticker,SUNW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-06,20.9524
2006-02-07,-3.5433
2006-02-08,-6.1224
2006-02-09,-13.0435
2006-02-10,0.0
2006-02-13,5.0
2006-02-14,2.3810000000000002
2006-02-15,-6.9767
2006-02-16,-5.0
2006-02-17,0.0
2006-02-21,5.2632
2006-02-22,0.0
2006-02-23,2.5
2006-02-24,-2.439
2006-02-27,0.0
2006-02-28,15.0
2006-03-01,0.0
2006-03-02,0.0
2006-03-03,-4.3478
2006-03-06,4.5455
2006-03-07,0.0
2006-03-08,-8.6957
2006-03-09,7.1429
2006-03-10,-6.6667
2006-03-13,-2.3810000000000002
2006-03-14,7.3171
2006-03-15,2.2727
2006-03-16,-8.8889
2006-03-17,-0.9756
2006-03-20,10.8374
2006-03-21,4.4444
2006-03-22,0.0
2006-03-23,-6.383
2006-03-24,0.0
2006-03-27,-6.8182
2006-03-28,2.439
2006-03-29,0.0
2006-03-30,0.0
2006-03-31,-9.5238
2006-04-03,7.8947
2006-04-04,0.0
2006-04-05,-2.439
2006-04-06,2.5
2006-04-07,-2.439
2006-04-10,-5.0
2006-04-11,-2.6316
2006-04-12,5.4054
2006-04-13,-2.5641
2006-04-17,0.0
2006-04-18,-15.7895
2006-04-19,10.9375
2006-04-20,-7.0423
2006-04-21,-9.0909
2006-04-24,0.0
2006-04-25,3.3333
2006-04-26,0.0
2006-04-27,3.2258
2006-04-28,24.375
2006-05-01,-19.598
2006-05-02,0.0
2006-05-03,0.0
2006-05-04,0.625
2006-05-05,-0.6211
2006-05-08,9.375
2006-05-09,-5.7143
2006-05-10,18.1818
2006-05-11,-2.0513
2006-05-12,4.712
2006-05-15,-15.0
2006-05-16,-2.9412000000000003
2006-05-18,3.0303
2006-05-19,8.8235
2006-05-22,0.0
2006-05-23,-2.7027
2006-05-24,0.0
2006-05-25,2.7778
2006-05-26,0.0
2006-05-30,-5.4054
2006-05-31,0.0
2006-06-02,0.0
2006-06-05,-2.2857
2006-06-06,2.3392
2006-06-08,5.7143
2006-06-09,-2.7027
2006-06-12,-5.5556
2006-06-13,-2.9412000000000003
2006-06-14,-3.0303
2006-06-15,0.0
2006-06-16,6.25
2006-06-20,5.8824
2006-06-22,0.0
2006-06-23,0.0
2006-06-26,-11.1111
2006-06-30,9.375
2006-07-07,-8.5714
2006-07-10,0.0
2006-07-11,-3.125
2006-07-12,0.0
2006-07-13,-6.4516
2006-07-14,0.0
2006-07-17,0.0
2006-07-18,3.4483
