ticker,GLYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-10,12.625
2014-01-13,-2.2198
2014-01-14,1.9296
2014-01-15,7.2383
2014-01-16,18.3801
2014-01-17,-4.8246
2014-01-21,1.3825
2014-01-22,-7.6818
2014-01-23,-4.4806
2014-01-24,-2.4742
2014-01-27,-3.9641
2014-01-28,2.5867
2014-01-29,0.2146
2014-01-30,2.9979
2014-01-31,3.4304
2014-02-03,0.603
2014-02-04,-0.8991
2014-02-05,-5.3427
2014-02-06,-2.3429
2014-02-07,0.7634
2014-02-10,0.3247
2014-02-11,6.1489
2014-02-12,5.1829
2014-02-13,0.3865
2014-02-14,0.0
2014-02-18,1.155
2014-02-19,-3.8059
2014-02-20,0.8902
2014-02-21,2.451
2014-02-24,0.5742
2014-02-25,20.647
2014-02-26,-1.3407
2014-02-27,2.0783
2014-02-28,-4.5419
2014-03-03,7.1370000000000005
2014-03-04,10.1072
2014-03-05,3.6161
2014-03-06,-3.0201
2014-03-07,8.9273
2014-03-10,2.9859999999999998
2014-03-11,4.1333
2014-03-12,0.7109
2014-03-13,-1.9412
2014-03-14,-8.5783
2014-03-17,3.4777
2014-03-18,-2.3462
2014-03-19,-2.0779
2014-03-20,-6.0345
2014-03-21,-1.0586
2014-03-24,3.2096999999999998
2014-03-25,0.622
2014-03-26,0.4808
2014-03-27,5.1265
2014-03-28,-1.8205
2014-03-31,8.1457
2014-04-01,2.6332
2014-04-02,-2.2076000000000002
2014-04-03,-2.7456
2014-04-04,-1.0665
2014-04-07,-3.6145
2014-04-08,-0.5263
2014-04-09,1.7856999999999998
2014-04-10,-6.7576
2014-04-11,-5.0174
2014-04-14,3.6684
2014-04-15,-2.4062
2014-04-16,3.9159
2014-04-17,-2.8611
2014-04-21,1.5805
2014-04-22,-0.2829
2014-04-23,-3.7589
2014-04-24,1.9897
2014-04-25,-4.1908
2014-04-28,-1.3575
2014-04-29,-0.2294
2014-04-30,1.6858
2014-05-01,-4.5215
2014-05-02,-4.7356
2014-05-05,-2.237
2014-05-06,-7.2881
2014-05-07,-3.6563
2014-05-08,-7.2106
2014-05-09,-6.6462
2014-05-12,-11.7196
2014-05-13,-5.7072
2014-05-14,-2.5
2014-05-15,-6.2078
2014-05-16,-6.7626
2014-05-19,3.5494
2014-05-20,-6.1103
2014-05-21,1.4285999999999999
2014-05-22,1.7214
2014-05-23,7.0769
2014-05-27,20.4023
2014-05-28,-5.4893
2014-05-29,-4.0404
2014-05-30,-5.7895
