ticker,BWFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-09,3.2258
2005-05-10,0.0
2005-05-27,-5.625
2005-06-02,12.5828
2005-06-03,0.0
2005-06-30,2.9412000000000003
2005-08-25,-1.4285999999999999
2005-08-26,0.0
2005-08-31,1.4493
2005-09-27,1.4285999999999999
2005-10-24,-1.4085
2005-11-15,-6.2857
2005-12-05,-2.439
2005-12-20,-4.0625
2005-12-21,-1.6287
2005-12-27,-3.9735
2005-12-30,10.3448
2006-01-17,-6.25
2006-02-03,-2.6667
2006-02-06,-0.6849
2006-02-14,-3.4483
2006-02-15,0.3571
2006-02-22,-1.7793999999999999
2006-02-28,-0.3623
2006-03-07,1.8182
2006-03-08,0.7143
2006-03-09,-0.7092
2006-03-14,14.2857
2006-03-15,0.0
2006-03-16,0.0
2006-03-24,3.125
2006-03-28,-3.0303
2006-04-17,-0.3125
2006-04-19,0.0
2006-04-20,-1.2539
2006-04-25,-0.6349
2006-04-26,0.639
2006-05-01,0.0
2006-05-02,7.9365
2006-05-12,5.2941
2006-05-16,0.0
2006-08-02,3.352
2006-09-11,0.0
2006-11-06,-9.4595
2006-11-09,1.4925
2006-11-15,2.9412000000000003
2007-02-15,20.0
2007-04-20,0.0
2007-05-29,-1.1905000000000001
2007-09-19,-0.241
2007-10-18,0.0
2007-11-16,0.0
2008-05-12,0.0
2008-06-10,0.9662
2008-08-12,-4.3062000000000005
2008-11-20,-10.0
2008-11-25,-5.5556
2008-12-10,-28.8235
2008-12-12,40.4959
2009-01-12,-5.8824
2009-01-20,18.75
2009-01-23,-38.4211
2009-01-30,28.2051
2009-02-24,-21.6667
2009-03-11,2.1277
2009-03-12,-12.5
2009-03-27,9.5238
2009-04-23,39.1304
2009-04-29,12.5
2009-11-24,-25.0
2009-12-04,-7.4074
2010-02-19,-4.0
2010-02-22,0.0
2010-03-31,41.6667
2010-04-28,11.7647
2010-05-18,15.7368
2010-05-19,0.0455
2010-05-21,0.0
2010-05-25,0.0
2010-05-26,0.0
2010-05-27,0.0
2010-05-28,-31.8182
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,-0.3333
2010-07-26,0.3344
2011-02-02,0.0
2011-02-18,0.0
2011-03-07,-6.3333
2011-04-19,0.0
2011-06-13,-1.7793999999999999
2011-07-20,-8.6232
2011-07-22,-0.0793
2011-07-25,1.1905000000000001
2011-07-26,0.0
2011-07-27,1.9607999999999999
2011-08-02,3.8462
2011-08-04,0.0
2011-08-17,-3.7037
