ticker,OUT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-28,5.3571
2014-03-31,-0.8475
2014-04-01,2.4957
2014-04-02,0.9006
2014-04-03,-0.0331
2014-04-04,-0.0992
2014-04-07,-2.4495
2014-04-08,-0.509
2014-04-09,0.955
2014-04-10,-1.3514
2014-04-11,-4.3493
2014-04-14,4.2607
2014-04-15,-0.3434
2014-04-16,6.6850000000000005
2014-04-17,-1.7442
2014-04-21,0.1644
2014-04-22,0.1313
2014-04-23,-1.3766
2014-04-24,1.3626
2014-04-25,-1.6066
2014-04-28,-1.4662
2014-04-29,-0.2705
2014-04-30,-0.6443
2014-05-01,0.4437
2014-05-02,1.2572
2014-05-05,0.2685
2014-05-06,-1.9411
2014-05-07,1.3993
2014-05-08,2.5917
2014-05-09,3.0512
2014-05-12,3.311
2014-05-13,-0.7704
2014-05-14,1.3354
2014-05-15,-0.1532
2014-05-16,0.5218
2014-05-19,0.0
2014-05-20,-0.1221
2014-05-21,-0.7949
2014-05-22,-0.0308
2014-05-23,-1.6954
2014-05-27,0.2195
2014-05-28,0.4068
2014-05-29,1.5270000000000001
2014-05-30,-0.3376
2014-06-02,0.4004
2014-06-03,-0.9816
2014-06-04,-1.2392
2014-06-05,1.2233
2014-06-06,1.8495
2014-06-09,-0.9849
2014-06-10,-0.3419
2014-06-11,-2.1522
2014-06-12,2.3589
2014-06-13,-0.0311
2014-06-16,2.1807
2014-06-17,3.0183
2014-06-18,0.3847
2014-06-19,-0.059
2014-06-20,0.7375
2014-06-23,-1.1713
2014-06-24,1.4222000000000001
2014-06-25,1.1101
2014-06-26,1.5602
2014-06-27,-4.8364
2014-06-30,-2.3019
2014-07-01,-3.6108000000000002
2014-07-02,2.0635
2014-07-03,0.311
2014-07-07,-3.2868
2014-07-08,0.6733
2014-07-09,4.0127
2014-07-10,-0.2143
2014-07-11,-0.8285
2014-07-14,0.5569
2014-07-15,0.8615
2014-07-16,-0.3356
2014-07-17,1.1631
2014-07-18,-0.0303
2014-07-21,4.4794
2014-07-22,-0.1159
2014-07-23,-0.6671
2014-07-24,0.2044
2014-07-25,-0.3788
2014-07-28,0.585
2014-07-29,-0.0291
2014-07-30,-2.356
2014-07-31,-0.8341
2014-08-01,0.1202
2014-08-04,0.09
2014-08-05,-0.0899
2014-08-06,-0.18
2014-08-07,-3.3063000000000002
2014-08-08,0.7771
2014-08-11,3.0537
2014-08-12,-1.0775
2014-08-13,1.4523
2014-08-14,0.5667
2014-08-15,0.7414
