ticker,CHRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-14,0.0
2018-06-15,-2.5
2018-06-18,-2.6496
2018-06-19,-3.9508
2018-06-20,0.0914
2018-06-21,2.9224
2018-06-22,-2.307
2018-06-25,1.2716
2018-06-26,-4.0359
2018-06-27,-0.9346
2018-06-28,-3.2075
2018-06-29,6.6277
2018-07-02,0.5484
2018-07-03,1.5455
2018-07-05,1.6115
2018-07-06,0.9692
2018-07-09,-2.9668
2018-07-10,0.8094
2018-07-11,-0.3568
2018-07-12,-4.6553
2018-07-13,0.6573
2018-07-16,-5.2239
2018-07-17,-8.3661
2018-07-18,5.478
2018-07-19,4.888
2018-07-20,-0.5825
2018-07-23,-3.9063
2018-07-24,-3.4553
2018-07-25,-5.8947
2018-07-26,-7.1588
2018-07-27,-1.5663
2018-07-30,-6.9767
2018-07-31,-0.3947
2018-08-01,-7.1334
2018-08-02,13.229
2018-08-03,-2.7638
2018-08-06,-5.6848
2018-08-07,-2.0548
2018-08-08,5.8741
2018-08-09,-10.568
2018-08-10,-1.6248
2018-08-13,17.5676
2018-08-14,-4.0868
2018-08-15,7.4567
2018-08-16,-4.9566
2018-08-17,-2.7379
2018-08-20,2.5469
2018-08-21,-0.6536
2018-08-22,-4.4737
2018-08-23,0.9642
2018-08-24,-4.9113
2018-08-27,0.4304
2018-08-28,0.5714
2018-08-29,1.9886
2018-08-30,4.7354
2018-08-31,-2.5266
2018-09-04,-1.5007000000000001
2018-09-05,-4.1551
2018-09-06,3.6127000000000002
2018-09-07,-2.371
2018-09-10,-3.4286
2018-09-11,3.2544
2018-09-12,-2.149
2018-09-13,-4.5388
2018-09-14,-4.7546
2018-09-17,-12.2383
2018-09-18,13.0275
2018-09-19,-2.4351
2018-09-20,-0.9983
2018-09-21,0.1681
2018-09-24,6.8792
2018-09-25,6.4364
2018-09-26,-1.6223999999999998
2018-09-27,9.4453
2018-09-28,8.2192
2018-10-01,0.8861
2018-10-02,-5.7716
2018-10-03,7.8562
2018-10-04,-2.4691
2018-10-05,3.7975
2018-10-08,-1.0976
2018-10-09,-3.5758
2018-10-10,5.4987
2018-10-11,-4.9697
2018-10-12,1.148
2018-10-15,-1.5131999999999999
2018-10-16,8.3227
2018-10-17,-9.8109
2018-10-18,-2.6212
2018-10-19,-1.0767
2018-10-22,3.6734999999999998
2018-10-23,-3.2808
2018-10-24,0.8141
2018-10-25,1.6151
2018-10-26,1.0596
2018-10-29,-7.2084
2018-10-30,4.8023
