ticker,BAYP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-17,20.8333
2006-02-22,-13.7931
2007-01-26,-80.0
2007-02-01,500.0
2007-09-11,-60.0
2007-09-12,125.0
2007-09-13,25.9259
2007-09-14,-11.7647
2007-09-17,-3.3333
2007-09-18,3.4483
2007-09-20,0.0
2007-09-21,0.0
2007-09-24,0.0
2007-09-25,0.0
2007-09-27,18.3333
2007-09-28,26.7606
2007-10-01,0.0
2007-10-02,22.2222
2007-10-03,0.0
2007-10-04,0.0
2007-10-05,0.0
2007-10-08,0.0
2007-10-09,-20.0
2007-10-10,-9.0909
2007-10-11,12.5
2007-10-12,-2.2222
2007-10-15,-2.2727
2007-10-16,0.0
2007-10-17,-6.9767
2007-10-18,2.5
2007-10-19,-2.439
2007-10-22,-25.0
2007-10-23,10.0
2007-10-24,-27.2727
2007-10-25,-25.0
2007-10-26,55.5556
2007-10-29,-28.5714
2007-10-30,-25.0
2007-10-31,0.0
2007-11-01,6.6667
2007-11-02,6.25
2007-11-06,29.4118
2007-11-07,0.0
2007-11-08,0.0
2007-11-09,-4.5455
2007-11-12,-23.8095
2007-11-13,-6.25
2007-11-14,0.0
2007-11-19,-0.2083
2007-11-20,-19.833
2007-11-21,0.0
2007-11-23,0.0
2007-11-26,-0.8333
2007-11-27,0.8403
2007-11-28,-41.6667
2007-11-29,0.0
2007-11-30,28.5714
2007-12-03,-11.1111
2007-12-04,-13.75
2007-12-05,1.4493
2007-12-06,-28.5714
2007-12-07,20.0
2007-12-11,-8.3333
2007-12-12,-36.3636
2007-12-13,0.0
2007-12-14,85.7143
2007-12-17,15.3846
2007-12-18,20.0
2007-12-19,11.1111
2007-12-20,5.0
2007-12-21,-4.7619
2007-12-27,-20.0
2007-12-28,0.0
2008-01-04,37.5
2008-01-07,-0.1136
2008-01-08,-18.0887
2008-01-09,-33.3333
2008-01-10,33.3333
2008-01-11,0.0
2008-01-14,-37.5
2008-01-15,0.0
2008-01-16,39.625
2008-01-17,0.2686
2008-01-18,7.1429
2008-01-22,-40.0
2008-01-23,33.3333
2008-01-24,-16.6667
2008-01-25,-10.0
2008-01-28,33.3333
2008-01-30,0.0
2008-01-31,0.0
2008-02-01,0.0
2008-02-04,0.0
2008-02-11,0.0
2008-02-12,-16.6667
2008-02-13,0.0
2008-02-14,-2.0
2008-02-15,-0.6378
2008-02-19,23.2349
2008-02-21,-16.6667
2008-02-22,-2.625
2008-02-25,2.6958
2008-02-26,-0.25
2008-02-27,0.0
