ticker,ATHM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-11,76.8824
2013-12-12,-2.6936999999999998
2013-12-13,-2.5974
2013-12-16,-1.7544
2013-12-17,-3.2143
2013-12-18,4.059
2013-12-19,-1.5603
2013-12-20,-1.9452
2013-12-23,7.4578
2013-12-24,-0.9573
2013-12-26,16.7069
2013-12-27,3.2535
2013-12-30,2.7499000000000002
2013-12-31,2.0072
2014-01-02,-4.3728
2014-01-03,-5.0014
2014-01-06,-5.4452
2014-01-07,0.5409
2014-01-08,4.557
2014-01-09,-3.9649
2014-01-10,-2.1116
2014-01-13,2.1571
2014-01-14,-0.1891
2014-01-15,14.6827
2014-01-16,0.826
2014-01-17,2.485
2014-01-21,-4.583
2014-01-22,-2.0665
2014-01-23,-8.782399999999999
2014-01-24,0.2188
2014-01-27,-8.1722
2014-01-28,1.9361000000000002
2014-01-29,-1.966
2014-01-30,4.0449
2014-01-31,6.0438
2014-02-03,0.6161
2014-02-04,-1.8982999999999999
2014-02-05,-1.6854
2014-02-06,-2.2857
2014-02-07,0.4224
2014-02-10,0.3559
2014-02-11,-0.3224
2014-02-12,2.0699
2014-02-13,6.8758
2014-02-14,1.9864000000000002
2014-02-18,5.2616
2014-02-19,0.4695
2014-02-20,-3.0786
2014-02-21,0.312
2014-02-24,-2.6010999999999997
2014-02-25,4.8766
2014-02-26,6.1168
2014-02-27,12.7021
2014-02-28,-4.6517
2014-03-03,0.4369
2014-03-04,15.9739
2014-03-05,7.8558
2014-03-06,-2.0093
2014-03-07,-4.2981
2014-03-10,-7.6226
2014-03-11,-6.4451
2014-03-12,3.4327
2014-03-13,-2.6043
2014-03-14,-1.9404
2014-03-17,0.9653
2014-03-18,8.1262
2014-03-19,0.8621
2014-03-20,-2.6518
2014-03-21,-5.9658
2014-03-24,-4.2614
2014-03-25,2.6757
2014-03-26,-6.527
2014-03-27,-4.5857
2014-03-28,2.5942
2014-03-31,2.2358000000000002
2014-04-01,3.749
2014-04-02,0.9536
2014-04-03,-4.3251
2014-04-04,-4.4947
2014-04-07,-8.8411
2014-04-08,7.6992
2014-04-09,-0.5542
2014-04-10,-2.3125999999999998
2014-04-11,-3.0234
2014-04-14,-0.1765
2014-04-15,-7.6606
2014-04-16,13.7205
2014-04-17,-1.9641
2014-04-21,0.7728
2014-04-22,5.595
2014-04-23,-2.2324
2014-04-24,-7.5928
2014-04-25,-3.245
2014-04-28,2.0
2014-04-29,1.3273
2014-04-30,-4.6442
2014-05-01,3.0284
