ticker,EVR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-11,18.3333
2006-08-14,3.0181
2006-08-15,3.9453
2006-08-16,6.1631
2006-08-17,2.3009
2006-08-18,3.737
2006-08-21,2.5684
2006-08-22,-1.5285
2006-08-23,1.288
2006-08-24,2.1519
2006-08-25,1.181
2006-08-28,-5.2366
2006-08-29,-4.6272
2006-08-30,0.349
2006-08-31,0.0
2006-09-01,0.313
2006-09-05,1.8031000000000001
2006-09-06,-2.4183
2006-09-07,-4.1885
2006-09-08,-3.133
2006-09-11,3.1967
2006-09-12,4.6283
2006-09-13,4.4932
2006-09-14,1.9
2006-09-15,-0.0654
2006-09-18,-1.0475
2006-09-19,-0.0992
2006-09-20,-0.6623
2006-09-21,-0.1
2006-09-22,-1.2346
2006-09-25,1.8580999999999999
2006-09-26,-0.4975
2006-09-27,-0.5333
2006-09-28,-0.4021
2006-09-29,-3.0956
2006-10-02,0.4167
2006-10-03,0.4495
2006-10-04,7.2978
2006-10-05,-0.2246
2006-10-06,1.7042000000000002
2006-10-09,5.9121
2006-10-10,0.1493
2006-10-11,0.924
2006-10-12,3.3668
2006-10-13,-1.8571
2006-10-16,1.6303
2006-10-17,-0.2578
2006-10-18,-4.2791
2006-10-19,5.7606
2006-10-20,0.3688
2006-10-23,4.0984
2006-10-24,0.8417
2006-10-25,0.8347
2006-10-26,5.2069
2006-10-27,-0.2284
2006-10-30,-2.0605
2006-10-31,-4.7273
2006-11-01,-1.9902
2006-11-02,-3.0876
2006-11-03,1.8944
2006-11-06,-2.3662
2006-11-07,-3.4622
2006-11-08,-3.7657
2006-11-09,-2.0497
2006-11-10,2.0926
2006-11-13,-0.5901
2006-11-14,7.4664
2006-11-15,2.0349
2006-11-16,5.1852
2006-11-17,2.3835
2006-11-20,1.0582
2006-11-21,-1.7016
2006-11-22,-1.3049
2006-11-24,0.6206
2006-11-27,-3.7275
2006-11-28,0.3343
2006-11-29,0.2502
2006-11-30,2.1597
2006-12-01,-2.6023
2006-12-04,-1.7534
2006-12-05,1.2181
2006-12-06,0.8956
2006-12-07,-1.276
2006-12-08,-0.7586
2006-12-11,2.7746
2006-12-12,-0.2755
2006-12-13,0.7182
2006-12-14,-1.6456
2006-12-15,-0.4462
2006-12-18,-2.1569
2006-12-19,0.773
2006-12-20,0.1989
2006-12-21,0.9356
2006-12-22,-2.3596
2006-12-26,-0.1726
2006-12-27,2.6513
2006-12-28,0.0842
2006-12-29,3.3661
2007-01-03,-0.9227
