ticker,RBCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-05,3.0303
2000-02-14,-11.7647
2000-02-15,3.3333
2000-03-13,6.4516
2000-03-14,4.5455
2000-03-29,0.0
2000-07-10,-1.4493
2000-08-11,0.0
2000-09-05,0.0
2000-11-06,0.0
2000-12-04,0.0
2001-04-19,5.8824
2001-05-29,0.0
2001-07-17,0.0
2001-08-16,0.0
2001-08-17,0.0
2002-04-16,0.0
2002-07-08,-5.5556
2002-07-22,5.8824
2002-08-09,-11.1111
2002-08-12,3.125
2002-08-13,4.5455
2002-08-14,2.8986
2002-08-16,0.0
2002-08-20,0.0
2002-09-04,-2.5352
2002-10-02,1.4451
2002-11-05,-7.4074
2002-11-13,0.0
2002-11-14,0.0
2003-05-15,-1.5385
2003-05-20,0.0
2003-06-27,21.875
2003-10-02,-14.6923
2003-11-06,2.1942
2003-12-04,5.8824
2003-12-08,2.7778
2003-12-12,-2.7027
2004-02-09,-0.2222
2004-02-20,-2.5612
2004-03-12,0.7143
2004-03-22,-1.4184
2004-04-05,5.036
2004-10-26,0.0
2005-01-20,-0.1941
2005-01-26,2.7778
2005-03-09,-2.7027
2005-04-13,0.0
2005-05-23,11.1111
2005-06-08,-10.0
2005-06-13,5.5556
2005-06-22,-2.6316
2005-06-24,1.2035
2005-10-31,-1.3514
2005-12-07,0.6849
2006-01-12,1.9003
2006-01-20,0.0
2006-02-06,-1.3514
2006-02-07,4.1096
2006-02-09,-2.6316
2006-03-17,-0.6757
2006-03-20,3.4013999999999998
2006-03-22,2.1053
2006-10-05,9.5176
2006-10-11,3.5714
2006-10-12,3.4483
