ticker,CVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-23,6.5789
2007-10-24,3.1111
2007-10-25,6.3218
2007-10-26,6.8919
2007-10-29,-1.3906
2007-10-30,-2.7778
2007-10-31,0.2198
2007-11-01,-3.0702
2007-11-02,1.5836999999999999
2007-11-05,-2.0045
2007-11-06,3.3636
2007-11-07,-1.4952
2007-11-08,-1.6071
2007-11-09,1.4973
2007-11-12,-1.7881
2007-11-13,-0.4096
2007-11-14,0.3656
2007-11-15,-2.1858
2007-11-16,0.9311
2007-11-19,1.0609
2007-11-20,-0.6846
2007-11-21,-0.5055
2007-11-23,0.9238
2007-11-26,-0.8696
2007-11-27,-0.7387
2007-11-28,0.0465
2007-11-29,0.5114
2007-11-30,1.8500999999999999
2007-12-03,-0.0908
2007-12-04,-0.2727
2007-12-05,-0.866
2007-12-06,-0.9195
2007-12-07,-0.464
2007-12-10,-0.4662
2007-12-11,-0.3607
2007-12-12,5.4388
2007-12-13,-1.5604
2007-12-14,5.0725
2007-12-17,2.3276
2007-12-18,-0.8425
2007-12-19,3.3985
2007-12-20,0.6574
2007-12-21,0.9388
2007-12-24,3.9224
2007-12-26,-1.4397
2007-12-27,-1.4607
2007-12-28,0.4006
2007-12-31,-0.4789
2008-01-02,0.2406
2008-01-03,-4.36
2008-01-04,1.6729
2008-01-07,0.3702
2008-01-08,3.2377
2008-01-09,-1.0322
2008-01-10,0.8022
2008-01-11,-0.8754
2008-01-14,4.3758
2008-01-15,-2.1154
2008-01-16,0.2358
2008-01-17,-2.8616
2008-01-18,2.3002000000000002
2008-01-22,-2.0907
2008-01-23,-0.0806
2008-01-24,1.371
2008-01-25,0.5171
2008-01-28,2.6513999999999998
2008-01-29,3.431
2008-01-30,-2.4599
2008-01-31,1.2992
2008-02-01,0.6413
2008-02-04,-1.5742
2008-02-05,-4.8743
2008-02-06,-1.5612
2008-02-07,1.5047000000000001
2008-02-08,4.2468
2008-02-11,0.8071
2008-02-12,1.4487
2008-02-13,2.1421
2008-02-14,-0.6255
2008-02-15,-0.6664
2008-02-19,1.3418
2008-02-20,-0.6988
2008-02-21,-2.0
2008-02-22,1.1338
2008-02-25,3.6622
2008-02-26,5.6957
2008-02-27,0.7844
2008-02-28,-0.7783
2008-02-29,-4.161
2008-03-03,-2.4555
2008-03-04,-1.1675
2008-03-05,-0.3691
2008-03-06,-4.0756
2008-03-07,-3.1286
2008-03-10,-1.9936
2008-03-11,6.55
2008-03-12,-6.1092
2008-03-13,-2.6027
