ticker,TIPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-22,-10.0
2007-06-25,0.5926
2007-06-26,1.2518
2007-06-27,0.0727
2007-06-28,-0.0727
2007-06-29,0.0
2007-07-02,0.0
2007-07-03,4.5091
2007-07-05,1.6006
2007-07-06,0.6849
2007-07-09,1.5646
2007-07-10,-1.7415
2007-07-11,-0.0682
2007-07-12,-1.0232
2007-07-13,-1.5162
2007-07-16,0.07
2007-07-17,1.3986
2007-07-18,0.5517
2007-07-19,0.823
2007-07-20,-0.7483
2007-07-23,0.3427
2007-07-24,-1.9809
2007-07-25,0.3484
2007-07-26,-6.9444
2007-07-27,0.0
2007-07-30,0.3731
2007-07-31,1.6357
2007-08-01,-1.2436
2007-08-02,-0.5926
2007-08-03,0.6706
2007-08-06,0.2221
2007-08-07,0.2216
2007-08-08,-0.4422
2007-08-09,-3.849
2007-08-10,-0.9238
2007-08-13,1.7871000000000001
2007-08-14,-8.0153
2007-08-15,-13.195
2007-08-16,4.2065
2007-08-17,-5.4128
2007-08-20,1.0669
2007-08-21,0.7678
2007-08-22,6.6667
2007-08-23,7.5893
2007-08-24,-2.3247
2007-08-27,-3.9072
2007-08-28,-1.4147
2007-08-29,0.8072
2007-08-30,0.5338
2007-08-31,1.5929
2007-09-04,6.1847
2007-09-05,-7.3011
2007-09-06,-1.7699
2007-09-07,0.6306
2007-09-10,-1.5219
2007-09-11,2.1818
2007-09-12,3.2028
2007-09-13,-4.6552
2007-09-14,4.8825
2007-09-17,-1.8965999999999998
2007-09-18,1.0545
2007-09-19,6.2609
2007-09-20,-2.2095
2007-09-21,0.4184
2007-09-24,2.1667
2007-09-25,-4.2414
2007-09-26,0.3407
2007-09-27,1.8676
2007-09-28,-0.1667
2007-10-01,-1.0017
2007-10-02,1.0961
2007-10-03,-1.3355000000000001
2007-10-04,0.5082
2007-10-05,-1.2616
2007-10-08,0.0852
2007-10-09,0.1702
2007-10-10,0.0
2007-10-11,-0.085
2007-10-12,0.7653
2007-10-15,-0.5063
2007-10-16,-1.6115
2007-10-17,1.2069
2007-10-18,0.7666
2007-10-19,0.2536
2007-10-22,-0.9275
2007-10-23,0.2553
2007-10-24,0.1687
2007-10-25,-0.9312
2007-10-26,1.7964
2007-10-29,-1.2605
2007-10-30,-1.7872
2007-10-31,-0.3466
2007-11-01,0.0
2007-11-02,-0.8696
2007-11-05,1.1404
2007-11-06,-3.7294
2007-11-07,0.6306
2007-11-08,-1.4324
2007-11-09,-0.545
