ticker,CHMA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-16,25.0
2015-07-17,0.0
2015-07-20,5.15
2015-07-21,7.7508
2015-07-22,2.3830999999999998
2015-07-23,0.0431
2015-07-24,0.6032
2015-07-27,-0.1713
2015-07-28,2.0592
2015-07-29,1.0929
2015-07-30,-3.659
2015-07-31,1.7264
2015-08-03,2.3335
2015-08-04,-1.2438
2015-08-05,2.0991
2015-08-06,1.1513
2015-08-07,-3.1301
2015-08-10,1.217
2015-08-11,0.9536
2015-08-12,9.4456
2015-08-13,-7.2795
2015-08-14,14.4071
2015-08-17,-1.9455
2015-08-18,-3.9322
2015-08-19,-1.089
2015-08-20,-4.328
2015-08-21,-4.5635
2015-08-24,-0.9148
2015-08-25,-2.1402
2015-08-26,3.4305
2015-08-27,7.4627
2015-08-28,-1.929
2015-08-31,2.1243
2015-09-01,0.2311
2015-09-02,8.6856
2015-09-03,0.6011
2015-09-04,0.0
2015-09-08,0.2109
2015-09-09,0.456
2015-09-10,-0.838
2015-09-11,-1.2324
2015-09-14,1.0339
2015-09-15,-0.0706
2015-09-16,-4.1667
2015-09-17,-3.9794
2015-09-18,-2.1105
2015-09-21,2.1168
2015-09-22,-2.9175
2015-09-23,1.7793999999999999
2015-09-24,-5.3225
2015-09-25,-7.3861
2015-09-28,-12.14
2015-09-29,-5.0933
2015-09-30,5.6323
2015-10-01,-6.992
2015-10-02,11.9524
2015-10-05,2.4154999999999998
2015-10-06,-1.5093999999999999
2015-10-07,8.2854
2015-10-08,-3.5383
2015-10-09,-2.2467
2015-10-12,-0.2814
2015-10-13,-6.0207
2015-10-14,4.5045
2015-10-15,8.477
2015-10-16,-4.6799
2015-10-19,1.2969
2015-10-20,-1.2803
2015-10-21,0.6948
2015-10-22,3.5879
2015-10-23,5.1066
2015-10-26,1.3519
2015-10-27,-0.0834
2015-10-28,2.8786
2015-10-29,-6.0827
2015-10-30,-1.8135
2015-11-02,-1.4952
2015-11-03,4.6429
2015-11-04,0.3413
2015-11-05,-0.3401
2015-11-06,2.1330999999999998
2015-11-09,0.8354
2015-11-10,-2.1541
2015-11-11,0.7197
2015-11-12,-6.1791
2015-11-13,2.3297
2015-11-16,-8.3625
2015-11-17,-4.5867
2015-11-18,5.5083
2015-11-19,-6.8818
2015-11-20,-1.58
2015-11-23,2.8483
2015-11-24,1.6616
2015-11-25,3.9128
2015-11-27,2.6692
2015-11-30,3.0176
2015-12-01,-0.4957
2015-12-02,2.1739
2015-12-03,1.0638
