ticker,SAKH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-08,9.7561
2007-01-18,0.0
2007-01-24,-12.2222
2007-01-25,13.9241
2007-02-15,-10.0
2007-02-21,18.5185
2007-03-14,-26.0417
2007-03-20,40.8451
2007-03-21,0.0
2007-03-22,-30.0
2007-03-23,37.1429
2007-03-26,-37.5
2007-03-27,0.0
2007-04-03,-16.6667
2007-04-04,20.0
2007-04-05,-13.3333
2007-04-09,15.3846
2007-04-10,0.0
2007-04-12,33.3333
2007-04-13,20.0
2007-04-17,-37.5
2007-04-18,-50.0
2007-04-26,-33.3333
2007-04-30,50.0
2007-05-08,33.3333
2007-05-10,0.0
2007-05-11,5.0
2007-05-16,9.5238
2007-05-25,0.0
2007-05-29,0.0
2007-05-31,0.0
2007-06-11,30.4348
2007-06-13,10.0
2007-08-08,-69.697
2007-08-09,180.0
2007-08-23,-10.7143
2007-09-05,-62.0
2007-09-20,57.8947
2007-09-24,66.6667
2007-09-28,-4.0
2007-10-03,4.1667
2007-10-04,36.0
2007-10-05,50.0
2007-10-10,-41.1765
2007-10-11,60.0
2007-11-27,-6.25
2007-11-28,6.6667
2007-12-19,2.0833
2008-01-03,-18.3673
2008-01-14,0.0
2008-01-15,12.5
2008-01-31,-22.2222
2008-05-30,-25.7143
2008-06-04,-3.8462
2008-06-24,40.0
2008-06-26,257.1429
2008-06-27,-40.0
2008-07-02,-1.3333
2008-07-11,-20.2703
2008-08-06,-40.678
2008-08-28,-4.2857
2008-09-03,49.2537
2008-11-14,-60.0
2008-12-19,25.0
2009-02-03,-20.0
2009-02-19,-45.0
2009-03-09,81.8182
2009-03-16,95.0
2009-04-13,-71.7949
2009-04-15,118.1818
2009-06-19,-54.1667
2009-06-22,118.1818
2009-07-17,41.6667
2009-10-06,-55.8824
2009-10-07,66.6667
2009-10-08,-60.0
2009-10-09,0.0
2009-10-12,0.0
2009-10-13,40.0
2009-10-15,128.5714
2009-10-16,-3.125
2009-10-19,0.0
2009-10-27,0.0
2009-11-03,-3.2258
2009-11-12,-16.6667
2009-11-17,20.0
2009-11-19,-3.3333
2009-11-20,0.0
2009-11-25,-17.2414
2009-11-30,20.8333
2009-12-03,0.0
2010-01-04,-10.3448
2010-01-05,88.4615
2010-01-06,-12.857099999999999
2010-01-07,-2.3419
2010-01-08,2.3981
2010-01-12,-2.3419
2010-01-20,2.3981
2010-01-21,-43.7939
2010-01-27,-20.8333
2010-01-28,31.5789
2010-02-05,0.0
2010-02-09,-40.0
